Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,28,28
1,Inbound Commuter,4,3
1,Long Term Visitor,16,18
1,Outbound Commuter,7,7
1,Resident Worker,48,52
1,Short Term Visitor,20,20
2,Home Worker,58,54
2,Inbound Commuter,12,11
2,Long Term Visitor,28,26
2,Outbound Commuter,16,19
2,Resident Worker,122,137
2,Short Term Visitor,33,32
3,Home Worker,66,63
3,Inbound Commuter,23,27
3,Long Term Visitor,43,52
3,Outbound Commuter,14,13
3,Resident Worker,108,107
3,Short Term Visitor,37,40
4,Home Worker,6,6
4,Inbound Commuter,5,4
4,Long Term Visitor,3,5
4,Resident Worker,9,7
4,Short Term Visitor,2,6
5,Home Worker,15,15
5,Inbound Commuter,5,4
5,Outbound Commuter,2,2
5,Resident Worker,23,24
5,Short Term Visitor,2,1
6,Home Worker,1,1
6,Inbound Commuter,2,2
6,Long Term Visitor,1,1
6,Outbound Commuter,2,2
6,Resident Worker,11,11
6,Short Term Visitor,1,1
7,Home Worker,5,5
7,Long Term Visitor,2,1
7,Outbound Commuter,1,2
7,Resident Worker,13,8
7,Short Term Visitor,6,9
8,Home Worker,23,20
8,Inbound Commuter,4,5
8,Long Term Visitor,9,8
8,Resident Worker,29,34
8,Short Term Visitor,11,13
9,Home Worker,3,3
9,Inbound Commuter,3,4
9,Resident Worker,4,6
9,Short Term Visitor,1,1
10,Outbound Commuter,1,1
11,Home Worker,4,3
11,Inbound Commuter,5,5
11,Long Term Visitor,5,5
11,Outbound Commuter,2,2
11,Resident Worker,20,18
11,Short Term Visitor,8,4
12,Home Worker,40,40
12,Inbound Commuter,4,5
12,Long Term Visitor,9,8
12,Outbound Commuter,9,7
12,Resident Worker,55,59
12,Short Term Visitor,8,11
13,Home Worker,60,62
13,Inbound Commuter,3,3
13,Long Term Visitor,13,23
13,Outbound Commuter,5,4
13,Resident Worker,92,94
13,Short Term Visitor,15,14
14,Home Worker,12,12
14,Inbound Commuter,1,2
14,Long Term Visitor,3,2
14,Resident Worker,5,3
14,Short Term Visitor,8,8
15,Home Worker,4,3
15,Inbound Commuter,2,1
15,Outbound Commuter,2,1
15,Resident Worker,5,2
15,Short Term Visitor,1,1
16,Inbound Commuter,1,2
16,Long Term Visitor,1,4
16,Resident Worker,4,3
16,Short Term Visitor,2,4
17,Home Worker,87,87
17,Inbound Commuter,26,31
17,Long Term Visitor,27,33
17,Outbound Commuter,7,7
17,Resident Worker,113,114
17,Short Term Visitor,30,40
18,Home Worker,21,21
18,Inbound Commuter,12,13
18,Long Term Visitor,6,3
18,Outbound Commuter,4,4
18,Resident Worker,46,53
18,Short Term Visitor,8,6
19,Home Worker,26,28
19,Inbound Commuter,7,6
19,Long Term Visitor,4,5
19,Outbound Commuter,5,6
19,Resident Worker,37,35
19,Short Term Visitor,6,11
20,Home Worker,10,9
20,Inbound Commuter,4,3
20,Long Term Visitor,1,1
20,Resident Worker,11,18
20,Short Term Visitor,13,9
21,Home Worker,14,11
21,Inbound Commuter,1,2
21,Long Term Visitor,8,4
21,Outbound Commuter,1,2
21,Resident Worker,15,10
21,Short Term Visitor,2,2
22,Home Worker,2,3
22,Inbound Commuter,3,3
22,Outbound Commuter,1,1
22,Resident Worker,14,15
22,Short Term Visitor,6,3
23,Home Worker,20,18
23,Inbound Commuter,3,3
23,Long Term Visitor,1,1
23,Resident Worker,11,12
23,Short Term Visitor,3,2
24,Home Worker,22,24
24,Inbound Commuter,4,4
24,Long Term Visitor,2,1
24,Outbound Commuter,2,2
24,Resident Worker,34,30
24,Short Term Visitor,2,3
25,Home Worker,29,29
25,Inbound Commuter,3,3
25,Long Term Visitor,61,126
25,Outbound Commuter,10,7
25,Resident Worker,70,67
25,Short Term Visitor,24,24
