Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,31,28
1,Inbound Commuter,3,3
1,Long Term Visitor,26,25
1,Outbound Commuter,7,9
1,Resident Worker,40,46
1,Short Term Visitor,22,23
2,Home Worker,57,59
2,Inbound Commuter,15,13
2,Long Term Visitor,27,39
2,Outbound Commuter,12,15
2,Resident Worker,98,105
2,Short Term Visitor,31,38
3,Home Worker,68,62
3,Inbound Commuter,15,16
3,Long Term Visitor,51,60
3,Outbound Commuter,9,10
3,Resident Worker,100,101
3,Short Term Visitor,42,43
4,Home Worker,4,7
4,Long Term Visitor,6,6
4,Resident Worker,8,8
4,Short Term Visitor,1,2
5,Home Worker,12,10
5,Long Term Visitor,6,3
5,Outbound Commuter,1,1
5,Resident Worker,16,17
5,Short Term Visitor,3,2
6,Home Worker,6,6
6,Long Term Visitor,3,2
6,Outbound Commuter,2,2
6,Resident Worker,5,3
6,Short Term Visitor,3,2
7,Home Worker,5,3
7,Inbound Commuter,2,2
7,Long Term Visitor,1,3
7,Resident Worker,14,15
7,Short Term Visitor,6,7
8,Home Worker,23,25
8,Inbound Commuter,2,1
8,Long Term Visitor,17,20
8,Outbound Commuter,2,2
8,Resident Worker,41,40
8,Short Term Visitor,14,19
9,Home Worker,2,2
9,Inbound Commuter,2,2
9,Long Term Visitor,2,2
9,Outbound Commuter,3,2
9,Resident Worker,6,5
9,Short Term Visitor,2,2
11,Home Worker,10,10
11,Inbound Commuter,2,2
11,Long Term Visitor,3,5
11,Outbound Commuter,1,1
11,Resident Worker,11,8
11,Short Term Visitor,1,1
12,Home Worker,36,37
12,Inbound Commuter,2,3
12,Long Term Visitor,16,12
12,Outbound Commuter,16,17
12,Resident Worker,53,57
12,Short Term Visitor,17,18
13,Home Worker,65,65
13,Inbound Commuter,9,10
13,Long Term Visitor,38,35
13,Outbound Commuter,9,9
13,Resident Worker,120,108
13,Short Term Visitor,27,21
14,Home Worker,4,5
14,Outbound Commuter,1,1
14,Resident Worker,4,4
15,Home Worker,4,4
15,Long Term Visitor,1,2
15,Outbound Commuter,1,1
15,Resident Worker,3,2
15,Short Term Visitor,1,2
16,Home Worker,2,3
16,Long Term Visitor,3,5
16,Short Term Visitor,3,3
17,Home Worker,102,107
17,Inbound Commuter,23,18
17,Long Term Visitor,34,51
17,Outbound Commuter,11,11
17,Resident Worker,144,152
17,Short Term Visitor,52,59
18,Home Worker,33,28
18,Inbound Commuter,1,3
18,Long Term Visitor,5,5
18,Outbound Commuter,4,6
18,Resident Worker,25,26
18,Short Term Visitor,2,5
19,Home Worker,17,20
19,Inbound Commuter,10,10
19,Long Term Visitor,1,2
19,Outbound Commuter,3,3
19,Resident Worker,26,28
19,Short Term Visitor,10,13
20,Home Worker,7,12
20,Inbound Commuter,2,2
20,Long Term Visitor,5,7
20,Outbound Commuter,1,2
20,Resident Worker,16,16
20,Short Term Visitor,4,5
21,Home Worker,11,11
21,Inbound Commuter,1,1
21,Long Term Visitor,4,4
21,Outbound Commuter,1,1
21,Resident Worker,23,23
21,Short Term Visitor,5,1
22,Home Worker,4,4
22,Inbound Commuter,2,3
22,Long Term Visitor,1,2
22,Resident Worker,16,15
22,Short Term Visitor,5,4
23,Home Worker,13,11
23,Inbound Commuter,1,1
23,Long Term Visitor,6,7
23,Outbound Commuter,1,1
23,Resident Worker,12,10
23,Short Term Visitor,2,2
24,Home Worker,19,17
