Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,30,32
1,Inbound Commuter,2,3
1,Long Term Visitor,21,15
1,Outbound Commuter,3,3
1,Resident Worker,41,52
1,Short Term Visitor,13,17
2,Home Worker,50,53
2,Inbound Commuter,13,14
2,Long Term Visitor,24,31
2,Outbound Commuter,8,11
2,Resident Worker,101,97
2,Short Term Visitor,15,13
3,Home Worker,34,35
3,Inbound Commuter,35,31
3,Long Term Visitor,48,46
3,Outbound Commuter,6,4
3,Resident Worker,107,102
3,Short Term Visitor,39,41
4,Home Worker,2,2
4,Long Term Visitor,5,2
4,Outbound Commuter,1,1
4,Resident Worker,9,14
4,Short Term Visitor,1,2
5,Home Worker,12,13
5,Inbound Commuter,3,2
5,Long Term Visitor,2,2
5,Outbound Commuter,1,1
5,Resident Worker,39,36
5,Short Term Visitor,4,5
6,Home Worker,7,6
6,Long Term Visitor,3,2
6,Resident Worker,6,5
6,Short Term Visitor,2,2
7,Home Worker,6,6
7,Inbound Commuter,3,4
7,Long Term Visitor,3,2
7,Resident Worker,13,14
7,Short Term Visitor,3,4
8,Home Worker,18,17
8,Inbound Commuter,8,6
8,Long Term Visitor,11,8
8,Outbound Commuter,1,1
8,Resident Worker,20,23
8,Short Term Visitor,6,7
9,Home Worker,6,6
9,Resident Worker,12,14
11,Home Worker,3,3
11,Inbound Commuter,8,5
11,Long Term Visitor,4,3
11,Outbound Commuter,2,2
11,Resident Worker,12,11
12,Home Worker,53,53
12,Inbound Commuter,1,4
12,Long Term Visitor,15,12
12,Outbound Commuter,9,9
12,Resident Worker,60,59
12,Short Term Visitor,14,11
13,Home Worker,58,58
13,Inbound Commuter,3,3
13,Long Term Visitor,16,23
13,Outbound Commuter,9,10
13,Resident Worker,93,91
13,Short Term Visitor,7,5
14,Home Worker,7,6
14,Inbound Commuter,1,1
14,Long Term Visitor,2,1
14,Outbound Commuter,2,2
14,Resident Worker,13,10
14,Short Term Visitor,1,1
15,Home Worker,1,1
15,Long Term Visitor,1,1
15,Resident Worker,7,10
16,Home Worker,4,3
16,Long Term Visitor,4,2
16,Outbound Commuter,1,1
16,Short Term Visitor,1,2
17,Home Worker,77,85
17,Inbound Commuter,24,15
17,Long Term Visitor,47,42
17,Outbound Commuter,8,8
17,Resident Worker,111,118
17,Short Term Visitor,47,52
18,Home Worker,36,30
18,Inbound Commuter,3,2
18,Long Term Visitor,7,5
18,Outbound Commuter,2,2
18,Resident Worker,47,42
18,Short Term Visitor,5,6
19,Home Worker,33,28
19,Inbound Commuter,6,4
19,Long Term Visitor,2,2
19,Outbound Commuter,7,8
19,Resident Worker,38,39
19,Short Term Visitor,7,6
20,Home Worker,24,24
20,Inbound Commuter,1,1
20,Long Term Visitor,3,3
20,Outbound Commuter,2,1
20,Resident Worker,16,18
20,Short Term Visitor,1,1
21,Home Worker,14,15
21,Inbound Commuter,6,5
21,Long Term Visitor,5,5
21,Outbound Commuter,2,2
21,Resident Worker,15,15
21,Short Term Visitor,4,5
22,Home Worker,11,10
22,Inbound Commuter,7,8
22,Outbound Commuter,3,3
22,Resident Worker,13,11
22,Short Term Visitor,4,4
23,Home Worker,5,4
23,Inbound Commuter,1,1
23,Long Term Visitor,1,1
23,Resident Worker,12,12
23,Short Term Visitor,2,2
24,Home Worker,17,17
24,Inbound Commuter,1,1
24,Long Term Visitor,2,3
