Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,37,35
1,Inbound Commuter,7,5
1,Long Term Visitor,15,9
1,Outbound Commuter,8,8
1,Resident Worker,46,48
1,Short Term Visitor,12,16
2,Home Worker,77,73
2,Inbound Commuter,19,18
2,Long Term Visitor,26,22
2,Outbound Commuter,16,15
2,Resident Worker,78,81
2,Short Term Visitor,32,26
3,Home Worker,59,58
3,Inbound Commuter,30,25
3,Long Term Visitor,25,30
3,Outbound Commuter,12,14
3,Resident Worker,112,109
3,Short Term Visitor,43,44
4,Home Worker,1,1
4,Inbound Commuter,3,2
4,Long Term Visitor,2,1
4,Resident Worker,4,5
5,Home Worker,25,23
5,Inbound Commuter,2,1
5,Long Term Visitor,2,2
5,Outbound Commuter,1,2
5,Resident Worker,16,15
5,Short Term Visitor,3,3
6,Home Worker,4,4
6,Inbound Commuter,3,4
6,Long Term Visitor,1,1
6,Resident Worker,6,5
6,Short Term Visitor,1,1
7,Home Worker,4,4
7,Inbound Commuter,1,2
7,Long Term Visitor,2,3
7,Resident Worker,17,12
7,Short Term Visitor,2,2
8,Home Worker,24,20
8,Inbound Commuter,11,9
8,Long Term Visitor,5,6
8,Outbound Commuter,2,2
8,Resident Worker,37,38
8,Short Term Visitor,9,12
9,Home Worker,7,6
9,Outbound Commuter,1,1
9,Resident Worker,14,13
11,Home Worker,9,10
11,Inbound Commuter,2,2
11,Long Term Visitor,2,4
11,Outbound Commuter,3,2
11,Resident Worker,12,8
11,Short Term Visitor,5,6
12,Home Worker,54,53
12,Inbound Commuter,4,3
12,Long Term Visitor,2,4
12,Outbound Commuter,7,8
12,Resident Worker,51,52
12,Short Term Visitor,6,8
13,Home Worker,77,84
13,Inbound Commuter,5,7
13,Long Term Visitor,12,15
13,Outbound Commuter,10,11
13,Resident Worker,101,100
13,Short Term Visitor,6,5
14,Home Worker,8,6
14,Inbound Commuter,1,1
14,Long Term Visitor,3,2
14,Outbound Commuter,3,2
14,Resident Worker,15,14
14,Short Term Visitor,2,2
15,Home Worker,7,7
15,Inbound Commuter,2,1
15,Outbound Commuter,1,1
15,Resident Worker,4,2
15,Short Term Visitor,1,2
16,Home Worker,2,2
16,Inbound Commuter,1,1
16,Long Term Visitor,2,2
16,Outbound Commuter,3,2
16,Resident Worker,2,3
16,Short Term Visitor,4,6
17,Home Worker,91,92
17,Inbound Commuter,22,18
17,Long Term Visitor,32,31
17,Outbound Commuter,16,16
17,Resident Worker,116,126
17,Short Term Visitor,41,47
18,Home Worker,25,27
18,Inbound Commuter,10,6
18,Long Term Visitor,9,6
18,Outbound Commuter,4,5
18,Resident Worker,40,41
18,Short Term Visitor,5,6
19,Home Worker,27,29
19,Inbound Commuter,8,7
19,Outbound Commuter,3,2
19,Resident Worker,44,37
19,Short Term Visitor,15,12
20,Home Worker,15,17
20,Long Term Visitor,10,12
20,Outbound Commuter,2,3
20,Resident Worker,15,16
20,Short Term Visitor,8,8
21,Home Worker,19,19
21,Inbound Commuter,3,2
21,Long Term Visitor,5,5
21,Outbound Commuter,2,3
21,Resident Worker,24,23
21,Short Term Visitor,5,3
22,Home Worker,6,6
22,Inbound Commuter,5,5
22,Outbound Commuter,1,1
22,Resident Worker,14,14
22,Short Term Visitor,6,5
23,Home Worker,13,13
23,Inbound Commuter,3,5
23,Outbound Commuter,3,3
23,Resident Worker,13,13
23,Short Term Visitor,3,1
24,Home Worker,29,29
24,Inbound Commuter,5,5
24,Long Term Visitor,3,5
24,Outbound Commuter,3,4
24,Resident Worker,22,28
24,Short Term Visitor,1,1
25,Home Worker,34,33
25,Inbound Commuter,3,4
25,Long Term Visitor,18,13
25,Outbound Commuter,8,7
25,Resident Worker,57,65
25,Short Term Visitor,9,8
26,Home Worker,21,20
26,Inbound Commuter,10,9
26,Long Term Visitor,15,6
26,Outbound Commuter,2,3
26,Resident Worker,27,25
26,Short Term Visitor,1,3
27,Home Worker,53,57
27,Inbound Commuter,12,10
27,Long Term Visitor,25,28
27,Outbound Commuter,9,13
27,Resident Worker,83,94
27,Short Term Visitor,15,15
28,Home Worker,7,6
28,Resident Worker,5,6
28,Short Term Visitor,2,2
29,Long Term Visitor,1,1
29,Resident Worker,6,8
29,Short Term Visitor,2,2
30,Home Worker,63,65
30,Inbound Commuter,4,5
30,Long Term Visitor,8,12
30,Outbound Commuter,5,5
30,Resident Worker,109,103
30,Short Term Visitor,5,7
31,Home Worker,24,22
31,Inbound Commuter,3,2
31,Long Term Visitor,10,10
31,Outbound Commuter,3,3
31,Resident Worker,55,55
31,Short Term Visitor,3,3
32,Home Worker,20,20
32,Inbound Commuter,6,5
32,Long Term Visitor,3,4
32,Outbound Commuter,8,6
32,Resident Worker,31,31
32,Short Term Visitor,3,3
33,Home Worker,25,24
33,Inbound Commuter,5,3
33,Outbound Commuter,3,1
33,Resident Worker,54,56
33,Short Term Visitor,4,8
34,Home Worker,25,24
34,Long Term Visitor,3,3
34,Outbound Commuter,2,1
34,Resident Worker,30,29
34,Short Term Visitor,3,2
35,Home Worker,19,17
35,Inbound Commuter,9,9
35,Long Term Visitor,4,4
35,Outbound Commuter,4,5
35,Resident Worker,19,23
35,Short Term Visitor,1,3
36,Home Worker,40,44
36,Inbound Commuter,2,3
36,Long Term Visitor,13,13
36,Outbound Commuter,4,5
36,Resident Worker,46,49
36,Short Term Visitor,3,3
37,Home Worker,68,62
37,Inbound Commuter,5,4
37,Long Term Visitor,25,20
37,Outbound Commuter,8,10
37,Resident Worker,117,112
37,Short Term Visitor,7,7
38,Home Worker,59,60
38,Inbound Commuter,28,20
38,Long Term Visitor,52,50
38,Outbound Commuter,17,17
38,Resident Worker,165,163
38,Short Term Visitor,18,19
39,Home Worker,25,35
39,Inbound Commuter,22,15
39,Long Term Visitor,12,9
39,Outbound Commuter,6,5
39,Resident Worker,115,109
39,Short Term Visitor,14,14
40,Home Worker,45,45
40,Inbound Commuter,8,7
40,Long Term Visitor,22,12
40,Outbound Commuter,5,3
40,Resident Worker,104,104
40,Short Term Visitor,2,2
41,Home Worker,35,34
41,Inbound Commuter,2,2
41,Long Term Visitor,8,8
41,Outbound Commuter,4,5
41,Resident Worker,53,49
41,Short Term Visitor,3,3
42,Home Worker,13,13
42,Inbound Commuter,3,2
42,Outbound Commuter,1,1
42,Resident Worker,33,31
43,Home Worker,20,21
43,Long Term Visitor,3,3
43,Outbound Commuter,6,4
43,Resident Worker,57,51
43,Short Term Visitor,3,6
44,Home Worker,14,17
44,Long Term Visitor,3,2
44,Resident Worker,21,16
44,Short Term Visitor,2,1
45,Home Worker,12,18
45,Inbound Commuter,7,7
45,Long Term Visitor,4,5
45,Outbound Commuter,3,3
45,Resident Worker,50,58
45,Short Term Visitor,7,6
46,Home Worker,7,5
46,Inbound Commuter,1,1
46,Resident Worker,6,7
46,Short Term Visitor,2,2
47,Home Worker,19,21
47,Inbound Commuter,5,6
47,Resident Worker,51,50
47,Short Term Visitor,3,1
48,Home Worker,15,17
48,Inbound Commuter,13,11
48,Long Term Visitor,35,30
48,Outbound Commuter,3,1
48,Resident Worker,44,52
48,Short Term Visitor,8,6
49,Home Worker,56,60
49,Inbound Commuter,27,23
49,Long Term Visitor,27,29
49,Outbound Commuter,7,8
49,Resident Worker,192,182
49,Short Term Visitor,13,16
50,Home Worker,29,24
50,Inbound Commuter,10,7
50,Long Term Visitor,7,10
50,Outbound Commuter,2,2
50,Resident Worker,46,52
51,Home Worker,18,19
51,Inbound Commuter,2,2
51,Outbound Commuter,4,3
51,Resident Worker,22,16
51,Short Term Visitor,1,1
52,Home Worker,12,13
52,Long Term Visitor,2,5
52,Outbound Commuter,5,4
52,Resident Worker,18,25
52,Short Term Visitor,1,2
53,Home Worker,52,60
53,Inbound Commuter,5,5
53,Long Term Visitor,11,10
53,Outbound Commuter,7,10
53,Resident Worker,84,81
53,Short Term Visitor,3,4
54,Home Worker,47,45
54,Inbound Commuter,7,4
54,Long Term Visitor,9,11
54,Outbound Commuter,4,6
54,Resident Worker,77,81
54,Short Term Visitor,10,12
55,Home Worker,31,25
55,Inbound Commuter,7,6
55,Long Term Visitor,13,8
55,Outbound Commuter,5,5
55,Resident Worker,65,72
55,Short Term Visitor,3,4
56,Home Worker,14,12
56,Resident Worker,9,10
56,Short Term Visitor,1,1
57,Home Worker,13,16
57,Long Term Visitor,2,1
57,Resident Worker,6,6
58,Home Worker,6,4
58,Inbound Commuter,3,4
58,Long Term Visitor,1,1
58,Outbound Commuter,2,3
58,Resident Worker,9,7
58,Short Term Visitor,2,5
59,Home Worker,31,32
59,Inbound Commuter,2,2
59,Long Term Visitor,4,6
59,Outbound Commuter,1,1
59,Resident Worker,45,50
60,Home Worker,39,39
60,Inbound Commuter,6,5
60,Long Term Visitor,12,10
60,Outbound Commuter,3,3
60,Resident Worker,49,54
61,Home Worker,15,18
61,Inbound Commuter,2,2
61,Long Term Visitor,4,3
61,Resident Worker,21,20
