Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,35,35
1,Inbound Commuter,3,2
1,Long Term Visitor,26,18
1,Outbound Commuter,5,5
1,Resident Worker,48,57
1,Short Term Visitor,8,9
2,Home Worker,47,50
2,Inbound Commuter,19,13
2,Long Term Visitor,28,22
2,Outbound Commuter,13,16
2,Resident Worker,90,90
2,Short Term Visitor,20,26
3,Home Worker,52,54
3,Inbound Commuter,26,29
3,Long Term Visitor,40,41
3,Outbound Commuter,15,15
3,Resident Worker,104,109
3,Short Term Visitor,36,32
4,Home Worker,1,2
4,Inbound Commuter,2,3
4,Long Term Visitor,1,1
4,Resident Worker,14,12
4,Short Term Visitor,2,1
5,Home Worker,16,20
5,Long Term Visitor,3,5
5,Outbound Commuter,2,2
5,Resident Worker,22,25
5,Short Term Visitor,4,6
6,Home Worker,5,3
6,Inbound Commuter,3,2
6,Long Term Visitor,2,2
6,Outbound Commuter,2,2
6,Resident Worker,12,9
6,Short Term Visitor,3,2
7,Home Worker,2,2
7,Inbound Commuter,3,3
7,Long Term Visitor,4,4
7,Outbound Commuter,1,1
7,Resident Worker,11,11
7,Short Term Visitor,4,5
8,Home Worker,22,23
8,Inbound Commuter,6,5
8,Long Term Visitor,11,11
8,Outbound Commuter,1,1
8,Resident Worker,25,26
8,Short Term Visitor,5,5
9,Home Worker,4,6
9,Inbound Commuter,3,2
9,Long Term Visitor,4,3
9,Outbound Commuter,1,1
9,Resident Worker,8,9
9,Short Term Visitor,1,1
11,Home Worker,7,5
11,Inbound Commuter,5,7
11,Long Term Visitor,1,2
11,Outbound Commuter,3,1
11,Resident Worker,12,13
11,Short Term Visitor,4,5
12,Home Worker,38,40
12,Long Term Visitor,17,7
12,Outbound Commuter,8,10
12,Resident Worker,51,55
12,Short Term Visitor,7,5
13,Home Worker,80,78
13,Inbound Commuter,10,6
13,Long Term Visitor,13,15
13,Outbound Commuter,9,11
13,Resident Worker,79,86
13,Short Term Visitor,10,10
14,Home Worker,11,10
14,Inbound Commuter,3,3
14,Long Term Visitor,1,2
14,Resident Worker,9,11
14,Short Term Visitor,1,2
15,Home Worker,1,1
15,Inbound Commuter,1,1
15,Resident Worker,4,4
15,Short Term Visitor,1,1
16,Home Worker,1,2
16,Long Term Visitor,1,1
16,Resident Worker,1,3
16,Short Term Visitor,2,1
17,Home Worker,69,72
17,Inbound Commuter,24,19
17,Long Term Visitor,41,43
17,Outbound Commuter,9,10
17,Resident Worker,127,130
17,Short Term Visitor,35,46
18,Home Worker,30,29
18,Inbound Commuter,6,5
18,Long Term Visitor,6,6
18,Outbound Commuter,3,4
18,Resident Worker,47,49
18,Short Term Visitor,4,2
19,Home Worker,16,15
19,Inbound Commuter,4,4
19,Long Term Visitor,9,11
19,Outbound Commuter,2,4
19,Resident Worker,44,40
19,Short Term Visitor,11,9
20,Home Worker,17,17
20,Long Term Visitor,1,1
20,Outbound Commuter,1,1
20,Resident Worker,19,17
20,Short Term Visitor,6,5
21,Home Worker,16,15
21,Inbound Commuter,4,3
21,Long Term Visitor,3,5
21,Outbound Commuter,1,1
21,Resident Worker,13,12
21,Short Term Visitor,5,7
22,Home Worker,10,9
22,Inbound Commuter,2,2
22,Resident Worker,14,11
22,Short Term Visitor,2,3
23,Home Worker,10,8
23,Inbound Commuter,5,3
23,Long Term Visitor,5,6
23,Outbound Commuter,2,2
23,Resident Worker,18,20
23,Short Term Visitor,1,1
24,Home Worker,22,20
24,Outbound Commuter,2,2
