Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,33,33
1,Inbound Commuter,6,4
1,Long Term Visitor,19,19
1,Outbound Commuter,6,8
1,Resident Worker,55,60
1,Short Term Visitor,19,17
2,Home Worker,53,52
2,Inbound Commuter,16,16
2,Long Term Visitor,33,14
2,Outbound Commuter,12,15
2,Resident Worker,108,107
2,Short Term Visitor,19,30
3,Home Worker,50,54
3,Inbound Commuter,17,17
3,Long Term Visitor,28,35
3,Outbound Commuter,5,5
3,Resident Worker,103,97
3,Short Term Visitor,33,41
4,Home Worker,6,8
4,Long Term Visitor,2,1
4,Resident Worker,4,6
4,Short Term Visitor,2,1
5,Home Worker,10,8
5,Inbound Commuter,3,3
5,Long Term Visitor,5,4
5,Outbound Commuter,4,3
5,Resident Worker,21,22
5,Short Term Visitor,5,2
6,Home Worker,1,1
6,Inbound Commuter,3,1
6,Long Term Visitor,3,1
6,Outbound Commuter,1,1
6,Resident Worker,9,7
6,Short Term Visitor,6,4
7,Home Worker,3,3
7,Inbound Commuter,3,4
7,Long Term Visitor,6,5
7,Resident Worker,14,15
7,Short Term Visitor,5,5
8,Home Worker,24,26
8,Inbound Commuter,7,5
8,Long Term Visitor,8,6
8,Outbound Commuter,2,1
8,Resident Worker,40,36
8,Short Term Visitor,10,8
9,Home Worker,3,4
9,Inbound Commuter,3,3
9,Resident Worker,7,9
9,Short Term Visitor,3,2
10,Home Worker,3,3
10,Long Term Visitor,5,12
10,Resident Worker,6,4
10,Short Term Visitor,3,3
11,Home Worker,5,4
11,Inbound Commuter,4,5
11,Long Term Visitor,1,3
11,Outbound Commuter,2,1
11,Resident Worker,6,8
11,Short Term Visitor,1,1
12,Home Worker,40,42
12,Long Term Visitor,4,5
12,Outbound Commuter,8,8
12,Resident Worker,62,63
12,Short Term Visitor,2,3
13,Home Worker,78,80
13,Inbound Commuter,4,4
13,Long Term Visitor,27,17
13,Outbound Commuter,8,5
13,Resident Worker,112,109
