Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,28,29
1,Inbound Commuter,8,7
1,Long Term Visitor,8,6
1,Outbound Commuter,5,7
1,Resident Worker,34,40
1,Short Term Visitor,9,7
2,Home Worker,42,41
2,Inbound Commuter,16,12
2,Long Term Visitor,29,28
2,Outbound Commuter,11,13
2,Resident Worker,96,105
2,Short Term Visitor,27,27
3,Home Worker,73,66
3,Inbound Commuter,26,22
3,Long Term Visitor,46,42
3,Outbound Commuter,9,12
3,Resident Worker,91,97
3,Short Term Visitor,39,45
4,Home Worker,2,3
4,Resident Worker,14,12
4,Short Term Visitor,3,1
5,Home Worker,20,22
5,Inbound Commuter,4,2
5,Long Term Visitor,3,2
5,Outbound Commuter,4,3
5,Resident Worker,31,27
5,Short Term Visitor,6,9
6,Home Worker,8,8
6,Inbound Commuter,3,2
6,Outbound Commuter,1,1
6,Resident Worker,4,5
6,Short Term Visitor,1,3
7,Home Worker,8,6
7,Inbound Commuter,1,2
7,Long Term Visitor,9,8
7,Resident Worker,9,9
8,Home Worker,27,24
8,Inbound Commuter,5,5
8,Long Term Visitor,7,9
8,Outbound Commuter,6,6
8,Resident Worker,35,37
8,Short Term Visitor,4,5
9,Home Worker,6,6
9,Inbound Commuter,2,2
9,Long Term Visitor,1,1
9,Outbound Commuter,4,4
9,Resident Worker,9,8
11,Home Worker,6,7
11,Inbound Commuter,3,4
11,Outbound Commuter,6,5
11,Resident Worker,10,11
11,Short Term Visitor,2,1
12,Home Worker,46,42
12,Inbound Commuter,3,3
12,Long Term Visitor,7,4
12,Outbound Commuter,10,11
12,Resident Worker,59,60
12,Short Term Visitor,5,2
13,Home Worker,64,63
13,Inbound Commuter,8,6
13,Long Term Visitor,8,9
13,Outbound Commuter,9,8
13,Resident Worker,86,91
13,Short Term Visitor,10,9
14,Home Worker,10,11
14,Inbound Commuter,1,1
14,Long Term Visitor,1,1
14,Resident Worker,16,13
15,Home Worker,3,4
15,Inbound Commuter,2,2
15,Resident Worker,6,5
15,Short Term Visitor,1,3
16,Home Worker,1,1
16,Inbound Commuter,1,1
16,Long Term Visitor,1,1
16,Outbound Commuter,2,2
16,Resident Worker,1,1
17,Home Worker,60,66
17,Inbound Commuter,21,22
17,Long Term Visitor,37,37
17,Outbound Commuter,9,10
17,Resident Worker,139,139
17,Short Term Visitor,35,50
18,Home Worker,33,32
18,Inbound Commuter,9,9
18,Long Term Visitor,4,4
18,Outbound Commuter,3,4
18,Resident Worker,30,32
18,Short Term Visitor,8,9
19,Home Worker,20,20
19,Inbound Commuter,9,9
19,Long Term Visitor,7,9
19,Outbound Commuter,4,4
19,Resident Worker,42,40
19,Short Term Visitor,12,18
20,Home Worker,14,15
20,Long Term Visitor,4,5
20,Outbound Commuter,1,1
20,Resident Worker,25,29
20,Short Term Visitor,3,2
21,Home Worker,20,18
21,Inbound Commuter,4,3
21,Long Term Visitor,1,1
21,Resident Worker,13,9
21,Short Term Visitor,2,3
22,Home Worker,5,7
22,Inbound Commuter,2,2
22,Long Term Visitor,3,1
22,Outbound Commuter,1,2
22,Resident Worker,21,16
22,Short Term Visitor,3,3
23,Home Worker,15,15
23,Inbound Commuter,1,2
23,Long Term Visitor,1,2
23,Resident Worker,14,12
23,Short Term Visitor,1,1
24,Home Worker,14,19
24,Inbound Commuter,1,1
24,Resident Worker,23,24
24,Short Term Visitor,7,6
25,Home Worker,30,28
25,Inbound Commuter,2,2
25,Long Term Visitor,25,21
25,Outbound Commuter,7,8
25,Resident Worker,52,50
25,Short Term Visitor,1,5
26,Home Worker,16,17
26,Inbound Commuter,9,5
26,Long Term Visitor,2,3
26,Outbound Commuter,3,3
26,Resident Worker,27,28
26,Short Term Visitor,3,3
27,Home Worker,40,40
27,Inbound Commuter,10,7
27,Long Term Visitor,24,24
27,Outbound Commuter,11,11
27,Resident Worker,81,89
27,Short Term Visitor,6,10
28,Home Worker,4,4
28,Inbound Commuter,2,2
28,Resident Worker,2,6
28,Short Term Visitor,2,1
29,Home Worker,1,1
29,Long Term Visitor,3,2
29,Resident Worker,3,4
29,Short Term Visitor,1,1
30,Home Worker,49,52
30,Long Term Visitor,14,10
30,Outbound Commuter,8,7
30,Resident Worker,82,82
30,Short Term Visitor,6,5
31,Home Worker,24,17
31,Inbound Commuter,4,4
31,Long Term Visitor,10,6
31,Outbound Commuter,4,5
31,Resident Worker,64,62
31,Short Term Visitor,9,11
32,Home Worker,15,14
32,Inbound Commuter,4,4
32,Long Term Visitor,1,2
32,Outbound Commuter,2,1
32,Resident Worker,35,32
32,Short Term Visitor,3,5
33,Home Worker,19,18
33,Inbound Commuter,9,8
33,Long Term Visitor,2,2
33,Outbound Commuter,1,1
33,Resident Worker,51,45
33,Short Term Visitor,8,7
34,Home Worker,15,15
34,Inbound Commuter,3,3
34,Resident Worker,30,27
34,Short Term Visitor,2,1
35,Home Worker,13,11
35,Inbound Commuter,2,2
35,Long Term Visitor,4,3
35,Resident Worker,15,20
36,Home Worker,27,22
36,Inbound Commuter,3,4
36,Long Term Visitor,5,5
36,Outbound Commuter,3,5
36,Resident Worker,44,46
36,Short Term Visitor,2,2
37,Home Worker,61,59
37,Inbound Commuter,7,7
37,Long Term Visitor,22,18
37,Outbound Commuter,8,12
37,Resident Worker,110,106
37,Short Term Visitor,4,7
38,Home Worker,57,63
38,Inbound Commuter,21,18
38,Long Term Visitor,54,40
38,Outbound Commuter,15,12
38,Resident Worker,144,151
38,Short Term Visitor,15,15
39,Home Worker,37,39
39,Inbound Commuter,24,20
39,Long Term Visitor,9,12
39,Outbound Commuter,2,4
39,Resident Worker,123,109
