Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,27,26
1,Inbound Commuter,4,3
1,Long Term Visitor,38,22
1,Outbound Commuter,4,2
1,Resident Worker,39,37
1,Short Term Visitor,14,13
2,Home Worker,63,56
2,Inbound Commuter,10,16
2,Long Term Visitor,32,40
2,Outbound Commuter,8,12
2,Resident Worker,117,117
2,Short Term Visitor,33,31
3,Home Worker,54,51
3,Inbound Commuter,27,21
3,Long Term Visitor,47,53
3,Outbound Commuter,14,11
3,Resident Worker,96,98
3,Short Term Visitor,40,43
4,Home Worker,4,4
4,Long Term Visitor,5,5
4,Resident Worker,9,5
4,Short Term Visitor,3,4
5,Home Worker,14,18
5,Inbound Commuter,2,2
5,Long Term Visitor,2,3
5,Outbound Commuter,2,2
5,Resident Worker,32,23
5,Short Term Visitor,11,11
6,Home Worker,3,3
6,Inbound Commuter,3,2
6,Long Term Visitor,2,1
6,Resident Worker,8,6
6,Short Term Visitor,1,1
7,Home Worker,8,8
7,Inbound Commuter,3,2
7,Long Term Visitor,5,5
7,Outbound Commuter,1,2
7,Resident Worker,10,9
7,Short Term Visitor,1,1
8,Home Worker,16,22
8,Inbound Commuter,4,5
8,Long Term Visitor,11,14
8,Outbound Commuter,2,3
8,Resident Worker,32,32
8,Short Term Visitor,8,9
9,Home Worker,4,4
9,Inbound Commuter,3,2
9,Long Term Visitor,1,1
9,Resident Worker,6,6
9,Short Term Visitor,2,1
11,Home Worker,9,8
11,Inbound Commuter,8,6
11,Long Term Visitor,7,8
11,Resident Worker,11,13
11,Short Term Visitor,5,5
12,Home Worker,45,45
12,Inbound Commuter,5,6
12,Long Term Visitor,10,15
12,Outbound Commuter,5,6
12,Resident Worker,56,54
12,Short Term Visitor,6,8
13,Home Worker,78,74
13,Inbound Commuter,6,8
13,Long Term Visitor,25,30
13,Outbound Commuter,9,8
13,Resident Worker,95,84
13,Short Term Visitor,9,10
14,Home Worker,8,9
14,Inbound Commuter,1,1
14,Outbound Commuter,1,1
14,Resident Worker,9,9
14,Short Term Visitor,1,1
15,Long Term Visitor,6,6
15,Resident Worker,7,6
16,Home Worker,1,1
16,Long Term Visitor,4,4
16,Short Term Visitor,1,2
17,Home Worker,77,78
17,Inbound Commuter,24,29
17,Long Term Visitor,56,60
17,Outbound Commuter,16,12
17,Resident Worker,125,129
17,Short Term Visitor,44,54
18,Home Worker,41,39
18,Inbound Commuter,8,4
18,Long Term Visitor,5,9
18,Outbound Commuter,6,9
18,Resident Worker,45,49
18,Short Term Visitor,8,6
19,Home Worker,14,15
19,Inbound Commuter,7,6
19,Long Term Visitor,4,7
19,Outbound Commuter,5,5
19,Resident Worker,31,33
19,Short Term Visitor,8,8
20,Home Worker,13,13
20,Long Term Visitor,2,1
20,Resident Worker,15,20
20,Short Term Visitor,6,11
21,Home Worker,15,12
21,Inbound Commuter,4,3
21,Long Term Visitor,5,5
21,Outbound Commuter,2,1
21,Resident Worker,15,16
21,Short Term Visitor,4,4
22,Home Worker,4,5
22,Inbound Commuter,5,4
22,Long Term Visitor,3,3
22,Outbound Commuter,2,3
22,Resident Worker,12,14
22,Short Term Visitor,3,6
23,Home Worker,13,14
23,Inbound Commuter,1,1
23,Long Term Visitor,1,2
23,Outbound Commuter,1,1
23,Resident Worker,13,15
23,Short Term Visitor,7,7
24,Home Worker,12,18
24,Inbound Commuter,2,2
24,Long Term Visitor,7,6
24,Outbound Commuter,1,1
24,Resident Worker,18,24
24,Short Term Visitor,2,1
25,Home Worker,39,27
25,Inbound Commuter,3,4
25,Long Term Visitor,90,60
25,Outbound Commuter,5,3
25,Resident Worker,44,45
25,Short Term Visitor,33,26
26,Home Worker,15,15
26,Inbound Commuter,8,6
26,Long Term Visitor,48,11
26,Outbound Commuter,5,6
26,Resident Worker,28,31
26,Short Term Visitor,9,3
27,Home Worker,49,53
27,Inbound Commuter,11,15
27,Long Term Visitor,36,38
27,Outbound Commuter,7,10
27,Resident Worker,85,86
27,Short Term Visitor,7,8
28,Home Worker,4,4
28,Inbound Commuter,1,1
28,Long Term Visitor,1,2
28,Outbound Commuter,1,1
28,Short Term Visitor,1,1
29,Inbound Commuter,2,3
29,Resident Worker,3,5
29,Short Term Visitor,1,1
30,Home Worker,62,70
30,Inbound Commuter,5,4
30,Long Term Visitor,11,11
30,Outbound Commuter,4,5
30,Resident Worker,73,75
30,Short Term Visitor,10,8
31,Home Worker,20,20
31,Inbound Commuter,2,2
31,Long Term Visitor,8,6
31,Outbound Commuter,4,3
31,Resident Worker,49,45
31,Short Term Visitor,4,5
32,Home Worker,8,8
32,Inbound Commuter,2,2
32,Long Term Visitor,1,9
32,Outbound Commuter,3,2
32,Resident Worker,33,29
32,Short Term Visitor,2,2
33,Home Worker,29,27
33,Inbound Commuter,1,1
33,Long Term Visitor,4,6
33,Outbound Commuter,2,3
33,Resident Worker,53,50
33,Short Term Visitor,5,9
34,Home Worker,21,21
34,Inbound Commuter,5,4
34,Long Term Visitor,2,4
34,Outbound Commuter,3,1
34,Resident Worker,26,27
35,Home Worker,18,18
35,Inbound Commuter,6,6
35,Long Term Visitor,5,6
35,Outbound Commuter,3,1
35,Resident Worker,15,16
35,Short Term Visitor,3,3
36,Home Worker,41,44
36,Inbound Commuter,2,3
36,Long Term Visitor,11,9
36,Outbound Commuter,5,5
36,Resident Worker,45,51
36,Short Term Visitor,3,2
37,Home Worker,53,56
37,Inbound Commuter,9,9
37,Long Term Visitor,17,24
37,Outbound Commuter,8,6
37,Resident Worker,124,128
37,Short Term Visitor,8,9
38,Home Worker,67,66
38,Inbound Commuter,29,18
38,Long Term Visitor,50,49
38,Outbound Commuter,11,7
38,Resident Worker,172,164
38,Short Term Visitor,14,14
39,Home Worker,34,39
39,Inbound Commuter,22,18
39,Long Term Visitor,22,23
39,Outbound Commuter,2,4
39,Resident Worker,103,91
39,Short Term Visitor,9,9
40,Home Worker,33,37
40,Inbound Commuter,11,9
40,Long Term Visitor,14,10
40,Outbound Commuter,2,4
40,Resident Worker,68,75
40,Short Term Visitor,9,10
41,Home Worker,44,42
41,Inbound Commuter,2,2
41,Long Term Visitor,11,8
41,Outbound Commuter,3,3
41,Resident Worker,51,53
41,Short Term Visitor,5,7
42,Home Worker,15,12
42,Long Term Visitor,4,2
42,Outbound Commuter,1,2
42,Resident Worker,45,37
43,Home Worker,29,33
43,Inbound Commuter,2,3
43,Long Term Visitor,10,6
43,Outbound Commuter,4,4
43,Resident Worker,41,46
43,Short Term Visitor,2,4
44,Home Worker,7,7
44,Inbound Commuter,1,1
44,Long Term Visitor,2,2
44,Outbound Commuter,1,1
44,Resident Worker,31,25
44,Short Term Visitor,1,1
45,Home Worker,16,16
45,Inbound Commuter,4,1
45,Long Term Visitor,8,10
45,Outbound Commuter,3,2
45,Resident Worker,41,39
45,Short Term Visitor,9,11
46,Home Worker,5,5
46,Long Term Visitor,5,4
46,Resident Worker,12,9
46,Short Term Visitor,2,4
47,Home Worker,20,19
47,Inbound Commuter,4,3
47,Long Term Visitor,5,8
47,Outbound Commuter,2,2
47,Resident Worker,45,37
47,Short Term Visitor,2,3
48,Home Worker,21,28
48,Inbound Commuter,12,10
48,Long Term Visitor,112,82
48,Outbound Commuter,3,4
48,Resident Worker,45,50
48,Short Term Visitor,41,50
49,Home Worker,66,62
49,Inbound Commuter,25,20
49,Long Term Visitor,19,27
49,Outbound Commuter,6,9
49,Resident Worker,160,151
49,Short Term Visitor,20,18
50,Home Worker,31,27
50,Inbound Commuter,7,7
