Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,19,19
1,Inbound Commuter,7,6
1,Long Term Visitor,12,19
1,Outbound Commuter,6,8
1,Resident Worker,44,50
1,Short Term Visitor,22,15
2,Home Worker,70,71
2,Inbound Commuter,13,16
2,Long Term Visitor,26,22
2,Outbound Commuter,16,17
2,Resident Worker,108,102
2,Short Term Visitor,25,30
3,Home Worker,61,60
3,Inbound Commuter,24,22
3,Long Term Visitor,39,28
3,Outbound Commuter,16,13
3,Resident Worker,117,105
3,Short Term Visitor,30,29
4,Home Worker,8,7
4,Long Term Visitor,2,2
4,Resident Worker,4,4
4,Short Term Visitor,1,1
5,Home Worker,20,21
5,Inbound Commuter,2,3
5,Long Term Visitor,6,4
5,Outbound Commuter,1,3
5,Resident Worker,23,21
5,Short Term Visitor,4,4
6,Home Worker,4,5
6,Inbound Commuter,4,3
6,Long Term Visitor,1,1
6,Resident Worker,9,9
6,Short Term Visitor,3,3
7,Home Worker,4,3
7,Long Term Visitor,1,1
7,Resident Worker,18,11
7,Short Term Visitor,1,1
8,Home Worker,32,34
8,Inbound Commuter,5,6
8,Long Term Visitor,10,9
8,Outbound Commuter,2,3
8,Resident Worker,38,40
8,Short Term Visitor,8,8
9,Home Worker,10,10
9,Inbound Commuter,5,6
9,Long Term Visitor,1,1
9,Outbound Commuter,1,1
9,Resident Worker,9,11
9,Short Term Visitor,2,1
10,Outbound Commuter,1,1
11,Home Worker,10,10
11,Inbound Commuter,6,3
11,Long Term Visitor,4,1
11,Outbound Commuter,2,2
11,Resident Worker,9,7
11,Short Term Visitor,3,3
12,Home Worker,44,43
12,Inbound Commuter,1,1
12,Long Term Visitor,11,8
12,Outbound Commuter,8,9
12,Resident Worker,57,57
12,Short Term Visitor,8,6
13,Home Worker,69,67
13,Inbound Commuter,1,4
13,Long Term Visitor,28,25
13,Outbound Commuter,10,8
13,Resident Worker,105,106
13,Short Term Visitor,8,11
14,Home Worker,10,11
14,Resident Worker,7,8
14,Short Term Visitor,1,1
15,Home Worker,6,6
15,Inbound Commuter,1,3
15,Outbound Commuter,1,1
15,Resident Worker,6,6
16,Home Worker,2,1
16,Resident Worker,4,3
16,Short Term Visitor,2,2
17,Home Worker,75,70
17,Inbound Commuter,23,21
17,Long Term Visitor,31,23
17,Outbound Commuter,8,9
17,Resident Worker,122,125
17,Short Term Visitor,34,44
18,Home Worker,33,34
18,Inbound Commuter,8,6
18,Long Term Visitor,6,3
18,Outbound Commuter,3,2
18,Resident Worker,44,41
18,Short Term Visitor,2,4
19,Home Worker,29,30
