Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,28,25
1,Inbound Commuter,2,2
1,Long Term Visitor,31,28
1,Outbound Commuter,14,11
1,Resident Worker,47,49
1,Short Term Visitor,22,18
2,Home Worker,43,37
2,Inbound Commuter,4,4
2,Long Term Visitor,32,39
2,Outbound Commuter,7,8
2,Resident Worker,66,62
2,Short Term Visitor,21,26
3,Home Worker,38,40
3,Inbound Commuter,13,11
3,Long Term Visitor,41,59
3,Outbound Commuter,5,6
3,Resident Worker,60,61
3,Short Term Visitor,29,32
4,Home Worker,1,2
4,Long Term Visitor,5,9
4,Resident Worker,10,10
4,Short Term Visitor,3,4
5,Home Worker,10,14
5,Inbound Commuter,3,2
5,Long Term Visitor,1,1
5,Outbound Commuter,2,1
5,Resident Worker,21,24
5,Short Term Visitor,1,1
6,Home Worker,5,5
6,Long Term Visitor,4,3
6,Outbound Commuter,1,1
6,Resident Worker,5,5
6,Short Term Visitor,3,1
7,Home Worker,4,3
7,Long Term Visitor,3,2
7,Resident Worker,9,8
8,Home Worker,21,25
8,Long Term Visitor,3,4
8,Outbound Commuter,2,2
8,Resident Worker,26,29
8,Short Term Visitor,12,14
9,Home Worker,8,6
9,Resident Worker,3,3
11,Home Worker,6,6
11,Inbound Commuter,4,2
11,Long Term Visitor,5,5
11,Outbound Commuter,2,2
11,Resident Worker,11,11
11,Short Term Visitor,5,4
12,Home Worker,50,53
12,Inbound Commuter,2,1
12,Long Term Visitor,27,11
12,Outbound Commuter,13,11
12,Resident Worker,53,56
12,Short Term Visitor,25,16
13,Home Worker,57,56
13,Inbound Commuter,4,3
13,Long Term Visitor,30,33
13,Outbound Commuter,8,7
13,Resident Worker,85,84
13,Short Term Visitor,21,23
14,Home Worker,10,11
14,Long Term Visitor,2,4
14,Outbound Commuter,1,1
14,Resident Worker,10,10
14,Short Term Visitor,1,1
15,Home Worker,3,3
15,Long Term Visitor,2,2
15,Outbound Commuter,2,1
15,Resident Worker,5,4
16,Home Worker,2,1
16,Resident Worker,1,1
17,Home Worker,68,69
17,Inbound Commuter,10,11
17,Long Term Visitor,34,32
17,Outbound Commuter,11,11
17,Resident Worker,70,70
17,Short Term Visitor,22,24
18,Home Worker,30,27
18,Long Term Visitor,13,15
18,Outbound Commuter,5,2
18,Resident Worker,31,31
18,Short Term Visitor,8,11
19,Home Worker,8,6
19,Long Term Visitor,14,9
19,Outbound Commuter,9,9
19,Resident Worker,21,21
19,Short Term Visitor,6,7
20,Home Worker,19,20
20,Inbound Commuter,2,2
20,Long Term Visitor,3,2
20,Outbound Commuter,2,3
20,Resident Worker,17,14
20,Short Term Visitor,9,7
21,Home Worker,10,10
21,Inbound Commuter,3,4
21,Long Term Visitor,10,8
21,Resident Worker,15,17
21,Short Term Visitor,4,4
22,Home Worker,5,4
22,Long Term Visitor,7,3
22,Resident Worker,4,1
23,Home Worker,15,13
23,Long Term Visitor,9,9
23,Outbound Commuter,1,1
23,Resident Worker,5,7
23,Short Term Visitor,2,2
24,Home Worker,23,22
24,Inbound Commuter,1,2
24,Long Term Visitor,6,2
24,Outbound Commuter,1,2
24,Resident Worker,18,18
24,Short Term Visitor,5,2
25,Home Worker,25,27
25,Long Term Visitor,91,92
25,Outbound Commuter,9,8
25,Resident Worker,44,52
25,Short Term Visitor,24,21
26,Home Worker,11,11
26,Inbound Commuter,2,3
26,Long Term Visitor,19,10
