Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,21,23
1,Inbound Commuter,5,5
1,Long Term Visitor,19,16
1,Outbound Commuter,5,7
1,Resident Worker,60,55
1,Short Term Visitor,14,11
2,Home Worker,57,57
2,Inbound Commuter,18,21
2,Long Term Visitor,33,29
2,Outbound Commuter,9,11
2,Resident Worker,110,113
2,Short Term Visitor,24,25
3,Home Worker,49,52
3,Inbound Commuter,27,28
3,Long Term Visitor,50,42
3,Outbound Commuter,11,6
3,Resident Worker,109,116
3,Short Term Visitor,43,40
4,Home Worker,5,6
4,Inbound Commuter,1,1
4,Long Term Visitor,2,3
4,Outbound Commuter,2,1
4,Resident Worker,4,4
5,Home Worker,20,18
5,Inbound Commuter,3,3
5,Long Term Visitor,6,6
5,Outbound Commuter,2,2
5,Resident Worker,28,23
5,Short Term Visitor,3,2
6,Home Worker,2,3
6,Long Term Visitor,1,1
6,Resident Worker,15,14
6,Short Term Visitor,3,3
7,Home Worker,13,13
7,Inbound Commuter,6,6
7,Long Term Visitor,6,6
7,Outbound Commuter,1,1
7,Resident Worker,9,12
7,Short Term Visitor,2,2
8,Home Worker,19,17
8,Inbound Commuter,5,5
8,Long Term Visitor,12,11
8,Resident Worker,33,32
8,Short Term Visitor,8,7
9,Home Worker,11,10
9,Inbound Commuter,5,3
9,Outbound Commuter,2,2
9,Resident Worker,3,6
11,Home Worker,10,9
11,Inbound Commuter,2,2
11,Long Term Visitor,1,5
11,Outbound Commuter,3,3
11,Resident Worker,11,10
11,Short Term Visitor,5,2
12,Home Worker,33,31
12,Inbound Commuter,2,3
12,Long Term Visitor,25,11
12,Outbound Commuter,11,8
12,Resident Worker,55,57
12,Short Term Visitor,9,3
13,Home Worker,68,62
13,Inbound Commuter,3,4
13,Long Term Visitor,31,26
13,Outbound Commuter,9,5
13,Resident Worker,99,110
13,Short Term Visitor,24,19
14,Home Worker,7,9
14,Inbound Commuter,1,1
14,Resident Worker,14,13
14,Short Term Visitor,1,1
15,Home Worker,3,3
15,Inbound Commuter,1,2
15,Long Term Visitor,1,1
15,Outbound Commuter,1,1
15,Resident Worker,3,4
16,Resident Worker,2,1
17,Home Worker,69,69
17,Inbound Commuter,25,20
17,Long Term Visitor,40,41
17,Outbound Commuter,11,13
17,Resident Worker,112,127
17,Short Term Visitor,28,34
18,Home Worker,29,29
18,Inbound Commuter,8,7
18,Long Term Visitor,4,4
18,Outbound Commuter,2,3
18,Resident Worker,51,54
18,Short Term Visitor,3,5
19,Home Worker,27,27
19,Inbound Commuter,7,4
19,Long Term Visitor,5,5
19,Outbound Commuter,9,7
19,Resident Worker,49,48
19,Short Term Visitor,15,20
20,Home Worker,10,8
20,Inbound Commuter,2,3
20,Long Term Visitor,6,4
20,Outbound Commuter,1,1
20,Resident Worker,25,26
20,Short Term Visitor,5,2
21,Home Worker,15,16
21,Inbound Commuter,4,3
21,Long Term Visitor,7,7
21,Outbound Commuter,2,2
21,Resident Worker,21,18
21,Short Term Visitor,4,4
22,Home Worker,4,5
22,Inbound Commuter,5,5
22,Resident Worker,14,15
22,Short Term Visitor,2,2
23,Home Worker,14,16
23,Inbound Commuter,2,2
23,Long Term Visitor,4,4
23,Resident Worker,13,16
23,Short Term Visitor,3,4
24,Home Worker,20,20
24,Inbound Commuter,1,1
24,Long Term Visitor,1,2
24,Outbound Commuter,3,4
24,Resident Worker,29,33
24,Short Term Visitor,4,5
25,Home Worker,38,38
25,Inbound Commuter,2,1
25,Long Term Visitor,65,94
25,Outbound Commuter,8,7
25,Resident Worker,64,71
25,Short Term Visitor,34,35
26,Home Worker,15,16
26,Inbound Commuter,8,7
26,Long Term Visitor,15,6
26,Outbound Commuter,2,2
26,Resident Worker,20,23
26,Short Term Visitor,7,6
27,Home Worker,43,44
27,Inbound Commuter,12,13
27,Long Term Visitor,21,31
27,Outbound Commuter,10,10
27,Resident Worker,76,84
27,Short Term Visitor,17,15
28,Inbound Commuter,1,4
28,Long Term Visitor,3,5
28,Resident Worker,7,5
28,Short Term Visitor,3,4
29,Home Worker,2,2
29,Inbound Commuter,1,1
29,Long Term Visitor,1,1
29,Resident Worker,5,7
29,Short Term Visitor,1,1
30,Home Worker,55,57
30,Inbound Commuter,6,6
30,Long Term Visitor,15,13
30,Outbound Commuter,3,5
30,Resident Worker,89,78
30,Short Term Visitor,12,10
31,Home Worker,23,26
31,Inbound Commuter,4,4
31,Long Term Visitor,5,7
31,Outbound Commuter,4,3
31,Resident Worker,48,50
31,Short Term Visitor,11,11
32,Home Worker,17,17
32,Inbound Commuter,4,5
32,Long Term Visitor,1,4
32,Outbound Commuter,2,2
32,Resident Worker,27,29
33,Home Worker,31,27
33,Inbound Commuter,2,4
33,Long Term Visitor,18,13
33,Outbound Commuter,1,1
33,Resident Worker,54,55
33,Short Term Visitor,4,2
34,Home Worker,12,12
34,Inbound Commuter,6,6
34,Long Term Visitor,3,1
34,Resident Worker,39,35
34,Short Term Visitor,4,3
35,Home Worker,15,14
35,Inbound Commuter,6,6
35,Outbound Commuter,1,3
35,Resident Worker,15,16
35,Short Term Visitor,5,3
36,Home Worker,38,42
36,Inbound Commuter,1,1
36,Long Term Visitor,15,17
36,Outbound Commuter,2,5
36,Resident Worker,50,64
36,Short Term Visitor,7,9
37,Home Worker,65,62
37,Inbound Commuter,4,6
37,Long Term Visitor,19,15
37,Outbound Commuter,5,9
37,Resident Worker,123,118
37,Short Term Visitor,7,5
38,Home Worker,78,79
38,Inbound Commuter,17,16
38,Long Term Visitor,49,57
38,Outbound Commuter,7,6
38,Resident Worker,155,157
38,Short Term Visitor,16,22
39,Home Worker,30,27
39,Inbound Commuter,21,17
39,Long Term Visitor,12,18
39,Outbound Commuter,3,2
39,Resident Worker,100,95
39,Short Term Visitor,17,18
40,Home Worker,37,37
40,Inbound Commuter,6,8
