Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,30,35
1,Inbound Commuter,6,7
1,Long Term Visitor,11,15
1,Outbound Commuter,3,4
1,Resident Worker,40,45
1,Short Term Visitor,13,11
2,Home Worker,55,57
2,Inbound Commuter,18,16
2,Long Term Visitor,26,31
2,Outbound Commuter,8,8
2,Resident Worker,90,107
2,Short Term Visitor,25,19
3,Home Worker,70,69
3,Inbound Commuter,32,24
3,Long Term Visitor,45,32
3,Outbound Commuter,10,10
3,Resident Worker,116,104
3,Short Term Visitor,26,32
4,Home Worker,3,4
4,Long Term Visitor,2,5
4,Resident Worker,7,8
5,Home Worker,16,18
5,Inbound Commuter,2,2
5,Long Term Visitor,3,1
5,Outbound Commuter,4,2
5,Resident Worker,31,29
5,Short Term Visitor,3,4
6,Home Worker,3,4
6,Inbound Commuter,1,2
6,Long Term Visitor,4,5
6,Resident Worker,10,11
6,Short Term Visitor,2,2
7,Home Worker,7,5
7,Inbound Commuter,3,2
7,Long Term Visitor,4,4
7,Resident Worker,10,9
7,Short Term Visitor,1,2
8,Home Worker,30,29
8,Inbound Commuter,6,6
8,Long Term Visitor,6,6
8,Resident Worker,36,33
8,Short Term Visitor,14,16
9,Home Worker,5,5
9,Inbound Commuter,2,2
9,Long Term Visitor,1,1
9,Outbound Commuter,2,2
9,Resident Worker,8,12
9,Short Term Visitor,1,1
10,Long Term Visitor,1,1
11,Home Worker,8,8
11,Inbound Commuter,8,8
11,Outbound Commuter,3,1
11,Resident Worker,8,7
11,Short Term Visitor,1,1
12,Home Worker,43,44
12,Inbound Commuter,3,3
12,Long Term Visitor,13,9
12,Outbound Commuter,6,4
12,Resident Worker,42,52
12,Short Term Visitor,4,4
13,Home Worker,65,66
13,Inbound Commuter,6,6
13,Long Term Visitor,20,20
13,Outbound Commuter,7,9
13,Resident Worker,110,108
13,Short Term Visitor,8,11
14,Home Worker,12,10
14,Long Term Visitor,1,6
14,Resident Worker,9,10
15,Home Worker,6,7
15,Inbound Commuter,4,3
15,Long Term Visitor,2,1
15,Resident Worker,4,3
15,Short Term Visitor,2,3
16,Home Worker,1,1
16,Short Term Visitor,1,2
17,Home Worker,70,72
17,Inbound Commuter,21,23
17,Long Term Visitor,27,26
17,Outbound Commuter,11,9
17,Resident Worker,114,113
