Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,34,32
1,Inbound Commuter,4,1
1,Long Term Visitor,25,31
1,Outbound Commuter,6,5
1,Resident Worker,49,49
1,Short Term Visitor,15,15
2,Home Worker,40,39
2,Inbound Commuter,5,5
2,Long Term Visitor,65,47
2,Outbound Commuter,12,13
2,Resident Worker,91,86
2,Short Term Visitor,31,33
3,Home Worker,50,54
3,Inbound Commuter,12,11
3,Long Term Visitor,80,50
3,Outbound Commuter,8,7
3,Resident Worker,88,79
3,Short Term Visitor,37,36
4,Home Worker,2,4
4,Long Term Visitor,6,5
4,Resident Worker,10,8
4,Short Term Visitor,4,4
5,Home Worker,12,10
5,Inbound Commuter,2,2
5,Long Term Visitor,3,2
5,Outbound Commuter,2,3
5,Resident Worker,29,28
5,Short Term Visitor,8,6
6,Home Worker,5,5
6,Long Term Visitor,1,2
6,Outbound Commuter,1,1
6,Resident Worker,11,10
6,Short Term Visitor,3,1
7,Home Worker,6,6
7,Inbound Commuter,2,1
7,Long Term Visitor,4,5
7,Resident Worker,13,12
7,Short Term Visitor,7,5
8,Home Worker,28,28
8,Inbound Commuter,4,5
8,Long Term Visitor,15,12
8,Resident Worker,47,42
8,Short Term Visitor,11,9
9,Home Worker,7,7
9,Long Term Visitor,2,4
9,Resident Worker,8,9
9,Short Term Visitor,1,1
11,Home Worker,7,7
11,Long Term Visitor,3,3
11,Outbound Commuter,2,2
11,Resident Worker,12,13
11,Short Term Visitor,1,2
12,Home Worker,50,47
12,Inbound Commuter,5,4
12,Long Term Visitor,14,17
12,Outbound Commuter,8,9
12,Resident Worker,63,60
12,Short Term Visitor,19,15
13,Home Worker,64,65
13,Inbound Commuter,10,7
13,Long Term Visitor,41,40
13,Outbound Commuter,10,7
13,Resident Worker,105,106
13,Short Term Visitor,8,5
14,Home Worker,2,2
14,Long Term Visitor,3,2
14,Resident Worker,3,3
14,Short Term Visitor,2,1
15,Home Worker,1,2
15,Long Term Visitor,2,1
16,Home Worker,1,2
16,Long Term Visitor,3,1
16,Outbound Commuter,1,1
16,Resident Worker,1,1
16,Short Term Visitor,3,2
17,Home Worker,86,81
17,Inbound Commuter,23,23
17,Long Term Visitor,51,44
17,Outbound Commuter,16,13
17,Resident Worker,136,121
17,Short Term Visitor,42,54
18,Home Worker,28,26
18,Inbound Commuter,3,2
18,Long Term Visitor,10,4
18,Outbound Commuter,5,5
18,Resident Worker,19,18
18,Short Term Visitor,4,3
19,Home Worker,16,14
19,Long Term Visitor,7,2
19,Outbound Commuter,3,2
19,Resident Worker,26,24
19,Short Term Visitor,8,9
20,Home Worker,15,15
20,Inbound Commuter,2,1
20,Long Term Visitor,6,2
20,Outbound Commuter,2,1
20,Resident Worker,16,17
20,Short Term Visitor,7,5
21,Home Worker,8,8
21,Inbound Commuter,1,1
21,Long Term Visitor,6,3
21,Resident Worker,20,20
21,Short Term Visitor,4,5
22,Home Worker,6,3
22,Inbound Commuter,3,3
22,Outbound Commuter,1,1
22,Resident Worker,11,10
23,Home Worker,6,4
23,Inbound Commuter,2,3
23,Long Term Visitor,3,5
23,Resident Worker,14,12
23,Short Term Visitor,4,4
24,Home Worker,23,23
24,Long Term Visitor,5,3
24,Outbound Commuter,1,2
24,Resident Worker,34,31
24,Short Term Visitor,5,7
25,Home Worker,36,41
25,Inbound Commuter,3,1
25,Long Term Visitor,92,93
25,Outbound Commuter,5,8
25,Resident Worker,51,49
25,Short Term Visitor,28,24
26,Home Worker,20,16
26,Inbound Commuter,1,1
26,Long Term Visitor,21,4
26,Outbound Commuter,6,5
26,Resident Worker,21,27
26,Short Term Visitor,7,3
27,Home Worker,44,43
27,Inbound Commuter,6,5
27,Long Term Visitor,23,17
27,Outbound Commuter,8,8
27,Resident Worker,75,81
27,Short Term Visitor,11,11
28,Home Worker,3,3
28,Inbound Commuter,1,1
28,Long Term Visitor,6,2
28,Resident Worker,4,7
