Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,36,37
1,Inbound Commuter,3,4
1,Long Term Visitor,16,17
1,Outbound Commuter,3,1
1,Resident Worker,47,40
1,Short Term Visitor,13,12
2,Home Worker,51,50
2,Inbound Commuter,18,14
2,Long Term Visitor,39,26
2,Outbound Commuter,15,16
2,Resident Worker,92,111
2,Short Term Visitor,18,13
3,Home Worker,51,54
3,Inbound Commuter,22,23
3,Long Term Visitor,58,47
3,Outbound Commuter,10,10
3,Resident Worker,116,114
3,Short Term Visitor,41,46
4,Home Worker,2,2
4,Long Term Visitor,5,4
4,Outbound Commuter,1,1
4,Resident Worker,11,10
5,Home Worker,9,8
5,Inbound Commuter,1,2
5,Long Term Visitor,4,2
5,Outbound Commuter,4,3
5,Resident Worker,17,15
5,Short Term Visitor,2,2
6,Home Worker,4,6
6,Long Term Visitor,5,4
6,Outbound Commuter,2,1
6,Resident Worker,5,5
6,Short Term Visitor,8,6
7,Home Worker,9,7
7,Inbound Commuter,4,3
7,Long Term Visitor,5,5
7,Resident Worker,13,13
7,Short Term Visitor,2,3
8,Home Worker,17,17
8,Inbound Commuter,7,9
8,Long Term Visitor,6,9
8,Outbound Commuter,4,4
8,Resident Worker,36,39
8,Short Term Visitor,9,9
9,Home Worker,7,6
9,Inbound Commuter,4,4
9,Outbound Commuter,1,2
9,Resident Worker,7,9
9,Short Term Visitor,2,1
11,Home Worker,7,8
11,Inbound Commuter,5,5
11,Long Term Visitor,4,2
11,Outbound Commuter,4,3
11,Resident Worker,16,19
11,Short Term Visitor,4,4
12,Home Worker,34,33
12,Long Term Visitor,14,16
12,Outbound Commuter,5,6
12,Resident Worker,48,48
12,Short Term Visitor,6,5
13,Home Worker,77,78
13,Inbound Commuter,10,10
13,Long Term Visitor,22,19
13,Outbound Commuter,9,8
13,Resident Worker,108,120
13,Short Term Visitor,11,10
14,Home Worker,8,8
14,Inbound Commuter,1,1
14,Resident Worker,17,18
15,Home Worker,6,7
15,Inbound Commuter,3,3
15,Resident Worker,4,3
15,Short Term Visitor,2,1
16,Home Worker,3,2
16,Short Term Visitor,2,4
17,Home Worker,70,72
17,Inbound Commuter,23,23
17,Long Term Visitor,35,31
17,Outbound Commuter,12,11
17,Resident Worker,120,111
17,Short Term Visitor,29,36
18,Home Worker,35,36
18,Inbound Commuter,3,3
18,Long Term Visitor,8,6
18,Outbound Commuter,3,5
18,Resident Worker,44,49
18,Short Term Visitor,5,5
19,Home Worker,16,19
19,Inbound Commuter,4,5
19,Long Term Visitor,9,6
19,Outbound Commuter,7,9
19,Resident Worker,44,45
19,Short Term Visitor,7,9
20,Home Worker,13,16
20,Inbound Commuter,3,2
20,Long Term Visitor,6,6
20,Outbound Commuter,7,7
20,Resident Worker,19,21
