Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,16,22
1,Inbound Commuter,4,2
1,Long Term Visitor,27,35
1,Outbound Commuter,3,5
1,Resident Worker,45,49
1,Short Term Visitor,16,14
2,Home Worker,55,55
2,Inbound Commuter,16,12
2,Long Term Visitor,46,44
2,Outbound Commuter,7,9
2,Resident Worker,105,105
2,Short Term Visitor,34,35
3,Home Worker,46,50
3,Inbound Commuter,21,22
3,Long Term Visitor,42,44
3,Outbound Commuter,13,8
3,Resident Worker,102,106
3,Short Term Visitor,43,46
4,Home Worker,4,4
4,Long Term Visitor,5,2
4,Resident Worker,5,9
4,Short Term Visitor,3,1
5,Home Worker,14,12
5,Inbound Commuter,3,2
5,Long Term Visitor,3,1
5,Outbound Commuter,1,1
5,Resident Worker,28,25
5,Short Term Visitor,6,4
6,Home Worker,2,2
6,Inbound Commuter,2,1
6,Long Term Visitor,1,1
6,Resident Worker,9,9
7,Home Worker,7,7
7,Long Term Visitor,3,4
7,Outbound Commuter,3,4
7,Resident Worker,6,7
7,Short Term Visitor,2,3
8,Home Worker,15,12
8,Inbound Commuter,6,6
8,Long Term Visitor,8,12
8,Outbound Commuter,2,1
8,Resident Worker,35,34
8,Short Term Visitor,11,14
9,Home Worker,6,5
9,Inbound Commuter,2,2
9,Resident Worker,6,4
9,Short Term Visitor,2,1
10,Outbound Commuter,1,1
11,Home Worker,6,5
11,Inbound Commuter,4,3
11,Long Term Visitor,5,6
11,Resident Worker,6,7
11,Short Term Visitor,1,3
12,Home Worker,45,42
12,Inbound Commuter,3,2
12,Long Term Visitor,15,13
12,Outbound Commuter,5,7
12,Resident Worker,59,60
12,Short Term Visitor,15,17
13,Home Worker,46,47
13,Inbound Commuter,1,1
13,Long Term Visitor,28,28
13,Outbound Commuter,9,7
13,Resident Worker,90,97
13,Short Term Visitor,6,8
14,Home Worker,3,3
14,Long Term Visitor,1,1
14,Outbound Commuter,1,1
14,Resident Worker,7,9
15,Home Worker,5,4
15,Inbound Commuter,1,2
15,Outbound Commuter,1,1
15,Resident Worker,5,6
16,Home Worker,1,1
16,Inbound Commuter,1,1
16,Long Term Visitor,1,4
16,Resident Worker,3,2
16,Short Term Visitor,1,3
17,Home Worker,102,99
17,Inbound Commuter,35,34
17,Long Term Visitor,64,59
17,Outbound Commuter,18,17
17,Resident Worker,146,156
17,Short Term Visitor,60,69
18,Home Worker,27,27
18,Inbound Commuter,5,8
18,Long Term Visitor,7,7
18,Outbound Commuter,2,1
18,Resident Worker,53,47
18,Short Term Visitor,7,7
19,Home Worker,8,12
19,Inbound Commuter,3,2
19,Long Term Visitor,11,10
19,Outbound Commuter,6,7
19,Resident Worker,40,35
19,Short Term Visitor,6,7
20,Home Worker,10,9
20,Inbound Commuter,2,3
20,Long Term Visitor,4,4
20,Outbound Commuter,3,3
20,Resident Worker,20,21
20,Short Term Visitor,13,9
21,Home Worker,12,11
21,Inbound Commuter,7,6
21,Long Term Visitor,3,4
21,Resident Worker,18,16
21,Short Term Visitor,7,7
22,Home Worker,10,8
22,Inbound Commuter,3,3
22,Long Term Visitor,3,3
22,Resident Worker,13,13
22,Short Term Visitor,4,3
23,Home Worker,4,4
