Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,32,31
1,Inbound Commuter,3,2
1,Long Term Visitor,13,23
1,Outbound Commuter,1,3
1,Resident Worker,45,37
1,Short Term Visitor,20,13
2,Home Worker,53,56
2,Inbound Commuter,17,11
2,Long Term Visitor,24,28
2,Outbound Commuter,7,10
2,Resident Worker,92,94
2,Short Term Visitor,26,20
3,Home Worker,59,55
3,Inbound Commuter,24,23
3,Long Term Visitor,49,48
3,Outbound Commuter,13,15
3,Resident Worker,112,108
3,Short Term Visitor,38,45
4,Home Worker,8,7
4,Long Term Visitor,4,3
4,Resident Worker,5,7
4,Short Term Visitor,4,2
5,Home Worker,10,12
5,Inbound Commuter,3,4
5,Long Term Visitor,5,4
5,Outbound Commuter,3,3
5,Resident Worker,22,23
5,Short Term Visitor,5,5
6,Home Worker,6,6
6,Outbound Commuter,3,2
6,Resident Worker,8,6
6,Short Term Visitor,4,4
7,Home Worker,5,5
7,Inbound Commuter,4,2
7,Long Term Visitor,4,4
7,Resident Worker,10,8
8,Home Worker,22,24
8,Inbound Commuter,7,6
8,Long Term Visitor,4,8
8,Outbound Commuter,5,3
8,Resident Worker,37,43
8,Short Term Visitor,13,13
9,Home Worker,6,6
9,Inbound Commuter,4,3
9,Long Term Visitor,1,1
9,Resident Worker,8,10
11,Home Worker,8,9
11,Inbound Commuter,4,3
11,Long Term Visitor,1,4
11,Outbound Commuter,3,3
11,Resident Worker,13,14
11,Short Term Visitor,1,1
12,Home Worker,35,33
12,Long Term Visitor,7,4
12,Outbound Commuter,6,8
12,Resident Worker,67,71
12,Short Term Visitor,6,8
13,Home Worker,67,68
13,Inbound Commuter,6,5
13,Long Term Visitor,16,17
13,Outbound Commuter,10,8
13,Resident Worker,94,96
13,Short Term Visitor,8,7
14,Home Worker,13,11
14,Inbound Commuter,1,1
14,Long Term Visitor,3,2
14,Resident Worker,8,12
15,Home Worker,2,2
15,Resident Worker,5,10
16,Home Worker,1,2
16,Resident Worker,1,1
17,Home Worker,88,98
17,Inbound Commuter,26,25
17,Long Term Visitor,41,42
17,Outbound Commuter,13,13
17,Resident Worker,97,108
17,Short Term Visitor,45,47
18,Home Worker,33,31
18,Inbound Commuter,10,8
18,Long Term Visitor,5,3
18,Outbound Commuter,1,2
18,Resident Worker,41,38
18,Short Term Visitor,3,8
19,Home Worker,17,14
19,Inbound Commuter,9,9
19,Long Term Visitor,4,6
19,Outbound Commuter,6,4
19,Resident Worker,28,31
19,Short Term Visitor,9,7
20,Home Worker,18,18
20,Inbound Commuter,2,2
20,Long Term Visitor,3,1
20,Resident Worker,22,28
20,Short Term Visitor,6,6
21,Home Worker,16,16
21,Inbound Commuter,6,5
21,Long Term Visitor,7,3
21,Outbound Commuter,1,1
21,Resident Worker,18,17
21,Short Term Visitor,5,8
22,Home Worker,7,6
22,Inbound Commuter,7,7
22,Long Term Visitor,4,5
22,Outbound Commuter,1,1
22,Resident Worker,16,16
22,Short Term Visitor,5,4
23,Home Worker,8,9
23,Long Term Visitor,1,3
23,Resident Worker,11,10
23,Short Term Visitor,5,5
24,Home Worker,15,21
24,Inbound Commuter,2,2
24,Long Term Visitor,4,1
24,Outbound Commuter,1,2
24,Resident Worker,24,22
24,Short Term Visitor,3,1
25,Home Worker,28,29
25,Inbound Commuter,2,2
25,Long Term Visitor,100,79
25,Outbound Commuter,5,5
25,Resident Worker,57,58
25,Short Term Visitor,20,25
26,Home Worker,20,20
26,Inbound Commuter,7,7
26,Long Term Visitor,52,8
26,Outbound Commuter,2,3
26,Resident Worker,25,24
26,Short Term Visitor,10,5
27,Home Worker,36,36
27,Inbound Commuter,9,11
27,Long Term Visitor,28,35
27,Outbound Commuter,8,13
27,Resident Worker,103,110
27,Short Term Visitor,11,10
28,Home Worker,1,2
28,Long Term Visitor,2,4
28,Resident Worker,2,3
28,Short Term Visitor,7,6
29,Inbound Commuter,3,2
29,Long Term Visitor,2,1
29,Outbound Commuter,1,1
29,Resident Worker,2,2
29,Short Term Visitor,3,4
30,Home Worker,61,59
30,Inbound Commuter,3,3
30,Long Term Visitor,10,12
30,Outbound Commuter,11,8
30,Resident Worker,83,100
30,Short Term Visitor,8,6
31,Home Worker,29,33
31,Inbound Commuter,5,1
31,Long Term Visitor,8,6
31,Outbound Commuter,5,3
31,Resident Worker,48,51
32,Home Worker,17,14
32,Inbound Commuter,3,3
32,Long Term Visitor,10,4
32,Resident Worker,33,29
32,Short Term Visitor,5,5
33,Home Worker,33,30
33,Inbound Commuter,4,3
33,Long Term Visitor,2,3
33,Outbound Commuter,3,4
33,Resident Worker,56,56
33,Short Term Visitor,9,8
34,Home Worker,16,15
34,Inbound Commuter,3,3
34,Long Term Visitor,4,3
34,Outbound Commuter,1,2
34,Resident Worker,25,24
34,Short Term Visitor,7,6
35,Home Worker,22,22
35,Inbound Commuter,2,2
35,Long Term Visitor,4,3
35,Resident Worker,15,16
35,Short Term Visitor,5,6
36,Home Worker,38,41
36,Inbound Commuter,2,2
36,Long Term Visitor,6,10
36,Outbound Commuter,4,5
36,Resident Worker,54,58
36,Short Term Visitor,2,2
37,Home Worker,50,57
37,Inbound Commuter,9,8
37,Long Term Visitor,21,29
37,Outbound Commuter,10,9
37,Resident Worker,123,133
37,Short Term Visitor,8,10
38,Home Worker,67,63
38,Inbound Commuter,26,19
38,Long Term Visitor,43,48
38,Outbound Commuter,13,12
38,Resident Worker,181,173
38,Short Term Visitor,17,12
39,Home Worker,34,39
39,Inbound Commuter,22,18
39,Long Term Visitor,14,15
39,Outbound Commuter,4,5
39,Resident Worker,99,88
39,Short Term Visitor,18,15
40,Home Worker,34,35
40,Inbound Commuter,10,10
40,Long Term Visitor,16,16
40,Outbound Commuter,3,3
40,Resident Worker,72,72
40,Short Term Visitor,12,13
41,Home Worker,34,28
41,Inbound Commuter,3,2
41,Long Term Visitor,19,15
41,Outbound Commuter,4,7
41,Resident Worker,54,53
41,Short Term Visitor,4,5
