Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,31,28
1,Inbound Commuter,5,5
1,Long Term Visitor,13,10
1,Outbound Commuter,5,6
1,Resident Worker,43,47
1,Short Term Visitor,17,21
2,Home Worker,67,67
2,Inbound Commuter,14,11
2,Long Term Visitor,22,26
2,Outbound Commuter,6,12
2,Resident Worker,91,102
2,Short Term Visitor,20,25
3,Home Worker,52,49
3,Inbound Commuter,29,25
3,Long Term Visitor,45,46
3,Outbound Commuter,12,9
3,Resident Worker,114,110
3,Short Term Visitor,39,56
4,Home Worker,3,1
4,Inbound Commuter,4,4
4,Long Term Visitor,4,2
4,Resident Worker,10,12
4,Short Term Visitor,1,2
5,Home Worker,11,7
5,Outbound Commuter,7,5
5,Resident Worker,19,18
5,Short Term Visitor,2,2
6,Home Worker,8,8
6,Inbound Commuter,1,1
6,Long Term Visitor,2,1
6,Resident Worker,3,2
6,Short Term Visitor,5,4
7,Home Worker,7,7
7,Inbound Commuter,6,6
7,Long Term Visitor,4,4
7,Resident Worker,16,13
7,Short Term Visitor,2,3
8,Home Worker,21,22
8,Inbound Commuter,4,5
8,Long Term Visitor,11,16
8,Outbound Commuter,1,3
8,Resident Worker,32,39
8,Short Term Visitor,7,11
9,Home Worker,7,6
9,Inbound Commuter,4,4
9,Resident Worker,7,7
9,Short Term Visitor,1,1
11,Home Worker,13,15
11,Inbound Commuter,4,7
11,Long Term Visitor,3,4
11,Outbound Commuter,1,1
11,Resident Worker,13,15
11,Short Term Visitor,3,4
12,Home Worker,35,35
12,Inbound Commuter,1,1
12,Long Term Visitor,6,7
12,Outbound Commuter,9,10
12,Resident Worker,69,68
12,Short Term Visitor,10,6
13,Home Worker,52,54
13,Inbound Commuter,10,11
13,Long Term Visitor,16,16
13,Outbound Commuter,5,8
13,Resident Worker,90,102
13,Short Term Visitor,14,12
14,Home Worker,6,5
14,Inbound Commuter,3,2
14,Resident Worker,9,10
14,Short Term Visitor,1,1
15,Home Worker,4,5
15,Long Term Visitor,2,2
15,Resident Worker,3,4
16,Long Term Visitor,3,1
16,Resident Worker,1,2
17,Home Worker,71,75
17,Inbound Commuter,23,27
17,Long Term Visitor,34,28
17,Outbound Commuter,16,17
17,Resident Worker,95,102
17,Short Term Visitor,36,47
18,Home Worker,32,36
18,Inbound Commuter,7,7
18,Long Term Visitor,6,7
18,Outbound Commuter,6,4
18,Resident Worker,43,37
18,Short Term Visitor,6,9
19,Home Worker,12,10
19,Inbound Commuter,6,6
19,Long Term Visitor,8,7
19,Outbound Commuter,4,4
19,Resident Worker,46,39
19,Short Term Visitor,12,13
20,Home Worker,19,21
20,Inbound Commuter,2,1
20,Long Term Visitor,7,4
20,Resident Worker,11,14
20,Short Term Visitor,10,11
21,Home Worker,15,16
21,Inbound Commuter,5,4
21,Long Term Visitor,7,4
21,Resident Worker,13,10
21,Short Term Visitor,5,8
22,Home Worker,6,5
22,Inbound Commuter,1,1
22,Long Term Visitor,3,4
22,Resident Worker,13,13
22,Short Term Visitor,2,1
23,Home Worker,9,9
23,Inbound Commuter,3,4
23,Long Term Visitor,4,3
23,Outbound Commuter,2,1
