Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,34,32
1,Inbound Commuter,2,3
1,Long Term Visitor,17,17
1,Resident Worker,55,53
1,Short Term Visitor,13,13
2,Home Worker,52,52
2,Inbound Commuter,11,10
2,Long Term Visitor,36,27
2,Outbound Commuter,9,11
2,Resident Worker,93,94
2,Short Term Visitor,26,27
3,Home Worker,52,55
3,Inbound Commuter,29,27
3,Long Term Visitor,43,45
3,Outbound Commuter,8,9
3,Resident Worker,119,109
3,Short Term Visitor,39,40
4,Home Worker,5,5
4,Inbound Commuter,1,1
4,Resident Worker,6,5
4,Short Term Visitor,1,1
5,Home Worker,8,10
5,Long Term Visitor,2,3
5,Resident Worker,17,21
5,Short Term Visitor,2,3
6,Home Worker,9,9
6,Inbound Commuter,5,4
6,Long Term Visitor,3,1
6,Resident Worker,8,8
7,Home Worker,4,6
7,Inbound Commuter,2,3
7,Long Term Visitor,9,7
7,Outbound Commuter,2,3
7,Resident Worker,10,11
8,Home Worker,35,39
8,Inbound Commuter,6,7
8,Long Term Visitor,17,22
8,Outbound Commuter,3,4
8,Resident Worker,50,58
8,Short Term Visitor,18,19
9,Home Worker,9,9
9,Long Term Visitor,2,2
9,Resident Worker,11,11
11,Home Worker,5,5
11,Inbound Commuter,9,9
11,Long Term Visitor,5,4
11,Outbound Commuter,3,3
11,Resident Worker,7,7
11,Short Term Visitor,3,1
12,Home Worker,40,40
12,Inbound Commuter,3,2
12,Long Term Visitor,15,11
12,Outbound Commuter,6,5
12,Resident Worker,41,54
12,Short Term Visitor,2,2
13,Home Worker,73,68
13,Inbound Commuter,3,6
13,Long Term Visitor,20,19
13,Outbound Commuter,7,7
13,Resident Worker,93,92
13,Short Term Visitor,13,14
14,Home Worker,9,8
14,Inbound Commuter,3,2
14,Resident Worker,7,7
15,Long Term Visitor,1,1
15,Resident Worker,7,5
16,Home Worker,2,3
16,Resident Worker,6,8
16,Short Term Visitor,2,2
17,Home Worker,74,84
17,Inbound Commuter,25,24
17,Long Term Visitor,40,38
17,Outbound Commuter,11,11
17,Resident Worker,104,104
17,Short Term Visitor,30,37
18,Home Worker,35,36
18,Inbound Commuter,9,6
18,Long Term Visitor,8,11
18,Outbound Commuter,3,3
18,Resident Worker,37,39
18,Short Term Visitor,3,5
19,Home Worker,25,23
19,Inbound Commuter,13,14
19,Long Term Visitor,11,9
19,Outbound Commuter,8,7
19,Resident Worker,43,39
19,Short Term Visitor,14,12
20,Home Worker,18,17
20,Inbound Commuter,4,4
20,Outbound Commuter,1,3
20,Resident Worker,25,26
20,Short Term Visitor,2,8
21,Home Worker,13,15
21,Inbound Commuter,3,3
21,Long Term Visitor,3,5
21,Outbound Commuter,2,2
21,Resident Worker,17,18
21,Short Term Visitor,8,8
22,Home Worker,9,11
22,Inbound Commuter,6,5
22,Long Term Visitor,4,3
22,Resident Worker,15,13
22,Short Term Visitor,2,2
23,Home Worker,6,7
23,Resident Worker,15,15
23,Short Term Visitor,2,3
24,Home Worker,17,17
24,Inbound Commuter,2,2
24,Long Term Visitor,3,5
24,Outbound Commuter,3,6
24,Resident Worker,28,30
24,Short Term Visitor,4,4
25,Home Worker,28,30
25,Inbound Commuter,1,3
25,Long Term Visitor,75,64
25,Outbound Commuter,6,7
25,Resident Worker,56,49
25,Short Term Visitor,29,21
26,Home Worker,22,20
26,Inbound Commuter,6,3
26,Long Term Visitor,31,8
26,Outbound Commuter,1,2
26,Resident Worker,19,21
26,Short Term Visitor,5,3
27,Home Worker,38,40
27,Inbound Commuter,9,8
27,Long Term Visitor,23,22
27,Outbound Commuter,8,8
27,Resident Worker,89,101
27,Short Term Visitor,8,11
28,Home Worker,2,2
28,Long Term Visitor,3,1
28,Resident Worker,4,7
28,Short Term Visitor,3,5
29,Home Worker,1,1
29,Inbound Commuter,2,2
29,Long Term Visitor,1,1
29,Resident Worker,3,3
30,Home Worker,58,63
30,Inbound Commuter,6,7
30,Long Term Visitor,19,14
30,Outbound Commuter,3,4
30,Resident Worker,67,69
30,Short Term Visitor,6,8
31,Home Worker,22,20
31,Inbound Commuter,4,3
