Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,32,25
1,Inbound Commuter,6,6
1,Long Term Visitor,14,16
1,Outbound Commuter,4,3
1,Resident Worker,52,48
1,Short Term Visitor,18,17
2,Home Worker,57,55
2,Inbound Commuter,11,11
2,Long Term Visitor,32,36
2,Outbound Commuter,14,10
2,Resident Worker,93,94
2,Short Term Visitor,27,36
3,Home Worker,55,57
3,Inbound Commuter,30,30
3,Long Term Visitor,38,36
3,Outbound Commuter,9,12
3,Resident Worker,119,113
3,Short Term Visitor,58,55
4,Home Worker,5,5
4,Long Term Visitor,2,3
4,Resident Worker,7,5
4,Short Term Visitor,2,1
5,Home Worker,17,18
5,Inbound Commuter,2,1
5,Outbound Commuter,1,1
5,Resident Worker,22,24
5,Short Term Visitor,3,4
6,Home Worker,2,2
6,Inbound Commuter,1,1
6,Long Term Visitor,1,2
6,Outbound Commuter,3,3
6,Resident Worker,7,4
6,Short Term Visitor,2,2
7,Home Worker,3,4
7,Resident Worker,14,11
7,Short Term Visitor,5,5
8,Home Worker,17,22
8,Inbound Commuter,9,9
8,Long Term Visitor,5,13
8,Resident Worker,41,43
8,Short Term Visitor,12,11
9,Home Worker,6,5
9,Inbound Commuter,2,2
9,Long Term Visitor,3,2
9,Resident Worker,7,6
9,Short Term Visitor,1,1
11,Home Worker,5,4
11,Inbound Commuter,3,4
11,Long Term Visitor,3,2
11,Resident Worker,5,7
11,Short Term Visitor,5,6
12,Home Worker,39,37
12,Long Term Visitor,10,11
12,Outbound Commuter,9,9
12,Resident Worker,54,54
12,Short Term Visitor,13,10
13,Home Worker,57,57
13,Long Term Visitor,18,15
13,Outbound Commuter,7,7
13,Resident Worker,102,106
13,Short Term Visitor,4,7
14,Home Worker,5,5
14,Long Term Visitor,1,3
14,Resident Worker,11,13
14,Short Term Visitor,3,3
15,Home Worker,1,2
15,Inbound Commuter,1,1
15,Outbound Commuter,1,1
15,Resident Worker,4,4
16,Long Term Visitor,1,2
16,Resident Worker,1,2
16,Short Term Visitor,3,4
17,Home Worker,84,89
17,Inbound Commuter,27,29
17,Long Term Visitor,53,54
17,Outbound Commuter,15,15
17,Resident Worker,131,133
17,Short Term Visitor,50,53
18,Home Worker,28,25
18,Inbound Commuter,8,8
18,Long Term Visitor,4,3
18,Outbound Commuter,5,4
