Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,26,26
1,Inbound Commuter,8,9
1,Long Term Visitor,25,36
1,Outbound Commuter,11,12
1,Resident Worker,45,48
1,Short Term Visitor,13,16
2,Home Worker,56,51
2,Inbound Commuter,14,19
2,Long Term Visitor,40,42
2,Outbound Commuter,7,7
2,Resident Worker,109,122
2,Short Term Visitor,33,40
3,Home Worker,58,61
3,Inbound Commuter,18,15
3,Long Term Visitor,51,54
3,Outbound Commuter,11,8
3,Resident Worker,97,91
3,Short Term Visitor,53,44
4,Home Worker,6,6
4,Long Term Visitor,15,11
4,Resident Worker,7,6
4,Short Term Visitor,1,3
5,Home Worker,10,10
5,Inbound Commuter,2,2
5,Long Term Visitor,4,4
5,Outbound Commuter,4,3
5,Resident Worker,25,27
5,Short Term Visitor,3,4
6,Home Worker,5,5
6,Long Term Visitor,4,4
6,Outbound Commuter,2,1
6,Resident Worker,2,3
7,Home Worker,10,11
7,Long Term Visitor,4,4
7,Outbound Commuter,3,3
7,Resident Worker,10,8
7,Short Term Visitor,1,1
8,Home Worker,23,26
8,Inbound Commuter,2,4
8,Long Term Visitor,17,14
8,Outbound Commuter,3,2
8,Resident Worker,31,33
8,Short Term Visitor,10,10
9,Home Worker,11,10
9,Inbound Commuter,1,1
9,Long Term Visitor,1,4
9,Resident Worker,8,9
11,Home Worker,5,5
11,Inbound Commuter,2,2
11,Long Term Visitor,5,5
11,Outbound Commuter,3,4
11,Resident Worker,12,10
11,Short Term Visitor,2,4
12,Home Worker,46,44
12,Inbound Commuter,1,2
12,Long Term Visitor,16,16
12,Outbound Commuter,10,6
12,Resident Worker,52,51
12,Short Term Visitor,17,16
13,Home Worker,70,68
13,Inbound Commuter,7,5
13,Long Term Visitor,43,30
13,Outbound Commuter,12,10
13,Resident Worker,116,110
13,Short Term Visitor,8,4
14,Home Worker,2,2
14,Outbound Commuter,2,1
14,Resident Worker,9,4
14,Short Term Visitor,1,1
15,Home Worker,5,4
15,Long Term Visitor,2,2
15,Outbound Commuter,1,1
15,Resident Worker,7,6
16,Home Worker,2,2
16,Inbound Commuter,1,1
16,Long Term Visitor,5,3
16,Resident Worker,4,4
16,Short Term Visitor,1,2
17,Home Worker,149,154
17,Inbound Commuter,30,33
17,Long Term Visitor,45,53
17,Outbound Commuter,21,22
17,Resident Worker,173,181
17,Short Term Visitor,60,63
18,Home Worker,30,36
18,Inbound Commuter,4,4
18,Long Term Visitor,6,4
18,Outbound Commuter,5,6
18,Resident Worker,28,21
18,Short Term Visitor,8,7
19,Home Worker,13,11
19,Inbound Commuter,3,2
19,Long Term Visitor,14,10
19,Outbound Commuter,6,7
19,Resident Worker,21,23
19,Short Term Visitor,3,5
20,Home Worker,9,9
20,Inbound Commuter,4,3
20,Long Term Visitor,7,6
20,Outbound Commuter,2,2
20,Resident Worker,13,19
20,Short Term Visitor,11,11
21,Home Worker,16,15
21,Inbound Commuter,3,4
21,Long Term Visitor,6,6
21,Resident Worker,24,16
21,Short Term Visitor,7,5
22,Home Worker,4,3
22,Long Term Visitor,5,6
22,Resident Worker,15,17
22,Short Term Visitor,4,6
23,Home Worker,15,16
23,Inbound Commuter,1,1
23,Long Term Visitor,10,8
23,Resident Worker,23,20
23,Short Term Visitor,8,6
24,Home Worker,10,11
24,Long Term Visitor,4,6
24,Outbound Commuter,3,3
24,Resident Worker,31,34
24,Short Term Visitor,10,10
25,Home Worker,37,46
25,Inbound Commuter,4,4
25,Long Term Visitor,38,41
25,Outbound Commuter,6,6
25,Resident Worker,50,43
25,Short Term Visitor,16,11
26,Home Worker,15,16
26,Inbound Commuter,5,4
26,Long Term Visitor,19,15
26,Outbound Commuter,2,2
26,Resident Worker,21,26
26,Short Term Visitor,2,3
27,Home Worker,44,44
27,Inbound Commuter,4,3
27,Long Term Visitor,36,33
27,Outbound Commuter,5,7
27,Resident Worker,84,89
27,Short Term Visitor,8,10
28,Home Worker,2,2
28,Inbound Commuter,5,4
28,Long Term Visitor,4,9
28,Resident Worker,10,7
28,Short Term Visitor,5,4
29,Home Worker,3,3
29,Inbound Commuter,1,1
29,Long Term Visitor,2,1
29,Outbound Commuter,1,1
29,Resident Worker,3,7
29,Short Term Visitor,6,3
30,Home Worker,67,64
30,Inbound Commuter,1,1
30,Long Term Visitor,31,26
30,Outbound Commuter,3,3
30,Resident Worker,93,82
30,Short Term Visitor,9,12
31,Home Worker,28,21
31,Inbound Commuter,5,4
31,Long Term Visitor,9,10
31,Outbound Commuter,7,7
31,Resident Worker,46,42
31,Short Term Visitor,8,7
32,Home Worker,13,11
32,Long Term Visitor,5,3
32,Resident Worker,18,18
32,Short Term Visitor,5,5
33,Home Worker,20,21
33,Inbound Commuter,4,3
33,Long Term Visitor,5,7
33,Outbound Commuter,3,2
33,Resident Worker,36,34
33,Short Term Visitor,6,8
34,Home Worker,25,22
34,Inbound Commuter,2,2
34,Long Term Visitor,1,1
34,Outbound Commuter,2,2
34,Resident Worker,27,24
34,Short Term Visitor,4,4
35,Home Worker,17,17
35,Inbound Commuter,2,2
35,Long Term Visitor,5,9
35,Outbound Commuter,2,2
35,Resident Worker,18,20
35,Short Term Visitor,3,3
36,Home Worker,39,43
36,Long Term Visitor,18,23
36,Outbound Commuter,5,4
36,Resident Worker,44,45
36,Short Term Visitor,7,10
37,Home Worker,45,45
37,Inbound Commuter,2,2
37,Long Term Visitor,19,26
37,Outbound Commuter,14,15
37,Resident Worker,78,76
37,Short Term Visitor,3,4
38,Home Worker,51,54
38,Inbound Commuter,9,7
38,Long Term Visitor,59,41
38,Outbound Commuter,9,9
38,Resident Worker,75,71
38,Short Term Visitor,16,15
39,Home Worker,24,25
39,Inbound Commuter,3,4
39,Long Term Visitor,26,27
39,Outbound Commuter,6,3
39,Resident Worker,35,35
39,Short Term Visitor,6,13
40,Home Worker,32,32
40,Inbound Commuter,7,9
40,Long Term Visitor,13,15
40,Outbound Commuter,3,4
40,Resident Worker,74,69
40,Short Term Visitor,16,14
41,Home Worker,45,52
41,Long Term Visitor,7,7
41,Outbound Commuter,3,5
41,Resident Worker,62,75
41,Short Term Visitor,5,8
42,Home Worker,13,9
42,Long Term Visitor,3,4
42,Resident Worker,28,22
43,Home Worker,13,15
43,Long Term Visitor,11,16
43,Outbound Commuter,3,2
43,Resident Worker,29,25
43,Short Term Visitor,7,2
44,Home Worker,11,9
44,Long Term Visitor,1,5
44,Resident Worker,5,5
45,Home Worker,22,19
45,Inbound Commuter,3,3
45,Long Term Visitor,5,9
45,Resident Worker,31,29
45,Short Term Visitor,6,6
46,Home Worker,6,4
46,Long Term Visitor,1,4
46,Resident Worker,16,14
46,Short Term Visitor,2,3
47,Home Worker,18,19
47,Inbound Commuter,2,2
47,Long Term Visitor,6,5
47,Outbound Commuter,2,2
47,Resident Worker,21,17
47,Short Term Visitor,5,3
48,Home Worker,20,21
