Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,28,27
1,Inbound Commuter,2,5
1,Long Term Visitor,8,10
1,Outbound Commuter,5,6
1,Resident Worker,49,50
1,Short Term Visitor,5,13
2,Home Worker,61,56
2,Inbound Commuter,10,13
2,Long Term Visitor,12,20
2,Outbound Commuter,10,13
2,Resident Worker,99,110
2,Short Term Visitor,25,23
3,Home Worker,65,71
3,Inbound Commuter,20,21
3,Long Term Visitor,26,29
3,Outbound Commuter,9,10
3,Resident Worker,104,98
3,Short Term Visitor,39,38
4,Home Worker,3,4
4,Inbound Commuter,2,3
4,Resident Worker,8,7
4,Short Term Visitor,2,3
5,Home Worker,19,18
5,Inbound Commuter,1,1
5,Long Term Visitor,4,5
5,Outbound Commuter,4,5
5,Resident Worker,16,19
5,Short Term Visitor,7,5
6,Home Worker,7,6
6,Inbound Commuter,5,3
6,Long Term Visitor,1,1
6,Resident Worker,12,10
6,Short Term Visitor,1,1
7,Home Worker,9,10
7,Inbound Commuter,1,1
7,Resident Worker,14,11
7,Short Term Visitor,1,1
8,Home Worker,16,16
8,Inbound Commuter,10,10
8,Long Term Visitor,4,5
8,Outbound Commuter,1,3
8,Resident Worker,37,36
8,Short Term Visitor,8,9
9,Home Worker,5,3
9,Inbound Commuter,2,1
9,Resident Worker,6,5
9,Short Term Visitor,1,1
10,Inbound Commuter,1,1
11,Home Worker,8,9
11,Inbound Commuter,3,3
11,Long Term Visitor,2,3
11,Outbound Commuter,1,1
11,Resident Worker,11,12
11,Short Term Visitor,3,1
12,Home Worker,40,42
12,Inbound Commuter,3,3
12,Long Term Visitor,9,8
12,Outbound Commuter,8,7
12,Resident Worker,51,60
12,Short Term Visitor,11,12
13,Home Worker,66,68
13,Inbound Commuter,3,2
13,Long Term Visitor,17,10
13,Outbound Commuter,10,9
13,Resident Worker,112,106
13,Short Term Visitor,9,10
14,Home Worker,9,9
14,Inbound Commuter,1,1
14,Outbound Commuter,1,1
14,Resident Worker,13,11
15,Home Worker,5,5
15,Outbound Commuter,2,2
15,Resident Worker,6,7
16,Home Worker,1,1
16,Resident Worker,2,1
17,Home Worker,84,83
17,Inbound Commuter,23,17
17,Long Term Visitor,33,30
17,Outbound Commuter,13,9
17,Resident Worker,115,118
17,Short Term Visitor,43,40
18,Home Worker,31,27
18,Inbound Commuter,9,9
18,Long Term Visitor,5,5
18,Resident Worker,43,42
18,Short Term Visitor,14,9
19,Home Worker,27,26
19,Inbound Commuter,12,12
19,Long Term Visitor,5,2
19,Outbound Commuter,2,4
19,Resident Worker,50,44
19,Short Term Visitor,10,13
20,Home Worker,16,16
20,Inbound Commuter,4,3
20,Long Term Visitor,4,3
20,Outbound Commuter,7,6
20,Resident Worker,9,10
20,Short Term Visitor,4,2
21,Home Worker,19,20
21,Inbound Commuter,4,3
21,Long Term Visitor,1,1
21,Resident Worker,22,22
21,Short Term Visitor,6,7
22,Home Worker,5,5
22,Inbound Commuter,6,6
22,Long Term Visitor,1,4
22,Outbound Commuter,1,1
22,Resident Worker,20,20
23,Home Worker,9,11
23,Inbound Commuter,2,2
23,Long Term Visitor,2,3
23,Resident Worker,11,12
23,Short Term Visitor,2,2
24,Home Worker,15,20
24,Inbound Commuter,1,1
24,Long Term Visitor,2,3
24,Outbound Commuter,1,2
24,Resident Worker,25,28
24,Short Term Visitor,2,1
25,Home Worker,38,38
25,Inbound Commuter,3,3
25,Long Term Visitor,14,10
25,Outbound Commuter,7,7
25,Resident Worker,48,49
25,Short Term Visitor,8,8
26,Home Worker,21,21
26,Inbound Commuter,11,7
26,Long Term Visitor,4,3
26,Outbound Commuter,3,3
