origin_zone,destination_zone,count2
1,1,22
1,2,3
1,3,3
1,4,1
1,7,1
1,8,3
1,9,1
1,13,8
1,17,5
1,25,5
1,27,2
1,28,1
1,30,1
1,34,2
1,35,1
1,38,2
1,40,1
1,43,1
1,50,1
1,53,2
1,64,1
1,68,1
1,77,1
1,96,1
1,109,2
1,125,1
1,126,1
1,183,1
1,225,1
1,227,3
1,228,1
1,229,1
1,230,1
1,304,1
1,307,1
1,310,1
1,350,1
1,496,1
1,633,1
1,648,1
1,809,2
1,874,1
1,879,1
1,897,1
1,898,1
1,902,1
1,903,1
1,906,3
1,911,1
1,913,2
1,1107,1
1,1144,1
1,1334,1
1,4000,20
1,4003,5
1,4005,2
2,1,1
2,2,34
2,3,1
2,5,1
2,7,1
2,8,6
2,11,1
2,13,4
2,17,4
2,18,2
2,21,1
2,23,1
2,25,3
2,27,7
2,30,1
2,34,2
2,35,2
2,36,2
2,37,3
2,38,5
2,39,1
2,40,3
2,41,1
2,43,1
2,49,1
2,50,4
2,53,2
2,54,1
2,64,4
2,71,1
2,75,1
2,86,1
2,90,1
2,112,1
2,120,1
2,124,1
2,125,1
2,136,2
2,137,1
2,141,1
2,149,1
2,158,1
2,189,1
2,196,1
2,210,1
2,213,3
2,214,1
2,226,1
2,227,1
2,229,2
2,310,1
2,344,1
2,347,1
2,352,1
2,443,1
2,445,1
2,448,1
2,457,1
2,482,4
2,486,1
2,494,1
2,496,1
2,612,1
2,633,1
2,676,1
2,726,2
2,729,1
2,736,1
2,804,1
2,805,1
2,807,1
2,835,1
2,851,1
2,895,2
2,897,4
2,902,1
2,903,1
2,906,3
2,909,1
2,916,1
2,923,1
2,928,1
2,935,1
2,937,1
2,977,2
2,984,1
2,985,1
2,987,1
2,1103,1
2,1105,1
2,1106,1
2,1145,1
2,1175,1
2,1176,2
2,1177,2
2,1192,1
2,1270,1
2,1334,1
2,4000,38
2,4003,14
2,4005,6
3,1,4
3,2,1
3,3,22
3,6,1
3,11,1
3,13,9
3,17,2
3,19,1
3,21,2
3,22,1
3,23,3
3,27,3
3,30,2
3,32,2
3,33,1
3,35,1
3,36,2
3,38,3
3,40,1
3,41,3
3,43,1
3,44,1
3,46,1
3,47,1
3,48,1
3,49,5
3,50,1
3,51,2
3,53,1
3,54,1
3,55,1
3,56,1
3,57,1
3,60,2
3,64,3
3,65,1
3,67,6
3,68,5
3,69,1
3,71,3
3,72,1
3,73,1
3,74,1
3,75,1
3,82,1
3,88,2
3,103,1
3,116,1
3,124,1
3,125,1
3,127,2
3,128,1
3,155,1
3,172,1
3,176,1
3,182,1
3,187,1
3,199,1
3,201,1
3,208,1
3,219,1
3,221,3
3,224,1
3,227,1
3,304,1
3,310,1
3,312,1
3,320,1
3,323,1
3,352,1
3,439,1
3,440,1
3,459,1
3,469,2
3,474,1
3,485,1
3,500,1
3,501,1
3,589,1
3,632,2
3,635,1
3,665,1
3,673,1
3,684,1
3,712,1
3,727,1
3,748,1
3,781,1
3,795,1
3,863,1
3,889,1
3,895,2
3,897,2
3,898,1
3,902,4
3,903,1
3,904,1
3,906,2
3,908,3
3,911,1
3,915,2
3,917,2
3,932,1
3,933,1
3,934,1
3,935,1
3,937,1
3,975,1
3,977,2
3,988,1
3,1035,1
3,1068,1
3,1070,2
3,1103,1
3,1104,1
3,1106,2
3,1109,2
3,1131,1
3,1141,1
3,1146,1
3,1177,1
3,1294,1
3,1334,1
3,4000,45
3,4003,13
3,4005,10
4,2,1
4,4,4
4,8,1
4,17,2
4,21,1
4,30,1
4,49,1
4,90,1
4,103,1
4,482,1
4,898,2
4,1104,1
4,4000,5
5,3,1
5,5,14
5,8,2
5,13,2
5,18,1
5,20,1
5,30,1
5,32,1
5,35,1
5,36,1
5,38,1
5,39,1
5,53,1
5,54,2
5,63,1
5,139,1
5,159,1
5,227,1
5,229,1
5,340,1
5,346,1
5,352,1
5,611,1
5,629,1
5,799,1
5,903,1
5,1006,1
5,1137,1
5,4000,9
5,4001,1
5,4002,1
5,4003,1
6,3,1
6,6,5
6,17,1
6,18,1
6,25,1
6,27,1
6,32,1
6,36,1
6,48,1
6,108,1
6,162,1
6,225,1
6,226,1
6,808,1
6,4000,3
6,4001,1
7,1,1
7,7,11
7,8,1
7,27,1
7,36,1
7,40,1
7,54,1
7,67,1
7,68,1
7,71,1
7,106,1
7,158,1
7,595,1
7,799,1
7,906,1
7,1068,1
7,4000,4
7,4001,1
7,4003,1
8,1,3
8,2,6
8,3,1
8,4,1
8,7,1
8,8,6
8,13,1
8,17,4
8,18,1
8,24,1
8,26,2
8,27,1
8,30,4
8,35,1
8,36,2
8,37,3
8,38,2
8,41,2
8,42,1
8,43,1
8,47,1
8,49,1
8,51,1
8,53,3
8,54,2
8,72,1
8,73,1
8,78,1
8,89,1
8,109,1
8,110,1
8,114,1
8,137,1
8,145,1
8,181,1
8,207,1
8,208,1
8,213,1
8,219,1
8,227,2
8,229,1
8,380,1
8,447,1
8,486,1
8,511,1
8,605,1
8,623,1
8,659,1
8,725,1
8,739,1
8,744,1
8,757,2
