origin_zone,destination_zone,count2
1,1,24
1,2,3
1,3,4
1,5,1
1,8,1
1,9,1
1,13,5
1,17,6
1,22,2
1,23,1
1,26,1
1,27,4
1,30,1
1,32,2
1,36,2
1,37,1
1,38,2
1,39,1
1,42,1
1,45,1
1,48,1
1,49,3
1,55,1
1,64,5
1,65,1
1,66,1
1,67,1
1,74,1
1,77,1
1,102,1
1,104,1
1,105,1
1,106,1
1,109,1
1,115,1
1,117,1
1,119,2
1,125,1
1,143,1
1,154,1
1,225,1
1,228,2
1,229,1
1,230,1
1,315,1
1,318,1
1,352,1
1,367,1
1,374,1
1,376,1
1,457,2
1,458,2
1,470,1
1,499,1
1,574,1
1,585,1
1,628,1
1,629,1
1,635,1
1,725,1
1,734,1
1,775,2
1,787,1
1,790,1
1,799,1
1,809,1
1,821,1
1,895,1
1,914,1
1,977,1
1,1027,1
1,1149,1
1,4000,28
1,4001,1
1,4002,1
1,4003,10
2,2,29
2,3,2
2,5,1
2,8,4
2,9,1
2,13,4
2,17,10
2,18,1
2,19,1
2,20,1
2,21,3
2,22,2
2,25,5
2,26,1
2,27,6
2,30,9
2,32,1
2,33,1
2,34,1
2,36,2
2,37,4
2,38,8
2,39,4
2,40,3
2,44,1
2,45,1
2,47,2
2,48,2
2,49,7
2,50,2
2,53,1
2,54,1
2,60,1
2,62,1
2,63,2
2,64,4
2,65,1
2,67,5
2,68,1
2,71,1
2,73,1
2,75,1
2,82,1
2,90,1
2,91,1
2,99,1
2,100,1
2,102,1
2,106,3
2,111,2
2,114,1
2,117,2
2,120,1
2,124,2
2,125,1
2,126,1
2,129,1
2,130,1
2,136,1
2,142,1
2,169,2
2,172,1
2,178,2
2,189,1
2,213,2
2,221,1
2,225,1
2,226,1
2,229,5
2,301,1
2,305,1
2,316,1
2,324,2
2,350,2
2,352,1
2,372,1
2,447,1
2,448,1
2,464,1
2,472,1
2,496,1
2,586,1
2,589,1
2,593,1
2,611,1
2,612,1
2,632,2
2,641,1
2,664,1
2,718,1
2,729,1
2,799,2
2,800,1
2,802,1
2,804,1
2,807,1
2,849,1
2,879,1
2,895,1
2,897,1
2,898,1
2,903,2
2,909,1
2,920,1
2,948,1
2,977,1
2,985,1
2,992,1
2,1020,1
2,1047,1
2,1104,1
2,1105,1
2,1175,1
2,1270,1
2,1294,1
2,1309,1
2,4000,43
2,4001,2
2,4002,1
2,4003,9
2,4004,1
2,4005,2
3,1,2
3,2,4
3,3,31
3,4,1
3,8,5
3,13,5
3,14,1
3,17,3
3,19,2
3,20,1
3,21,4
3,22,1
3,23,2
3,24,3
3,25,1
3,26,1
3,27,1
3,30,3
3,31,1
3,32,1
3,33,1
3,34,1
3,35,1
3,36,3
3,37,3
3,38,5
3,39,7
3,40,2
3,41,1
3,42,1
3,43,4
3,44,2
3,45,2
3,48,2
3,49,7
3,50,2
3,53,2
3,54,3
3,56,1
3,60,2
3,61,1
3,63,1
3,64,8
3,68,2
3,70,1
3,71,2
3,72,2
3,73,1
3,75,2
3,76,2
