origin_zone,destination_zone,count2
1,1,22
1,3,2
1,5,2
1,9,1
1,13,7
1,17,6
1,20,1
1,21,1
1,25,1
1,27,1
1,30,2
1,31,1
1,32,1
1,35,1
1,36,4
1,38,2
1,39,1
1,40,1
1,43,1
1,45,1
1,47,1
1,48,1
1,49,4
1,64,1
1,65,2
1,67,1
1,73,1
1,100,1
1,102,1
1,126,1
1,158,1
1,171,1
1,188,1
1,195,1
1,225,1
1,228,1
1,229,1
1,302,1
1,340,1
1,388,1
1,443,2
1,457,1
1,458,1
1,574,2
1,594,1
1,596,1
1,603,1
1,635,1
1,751,1
1,781,1
1,799,1
1,801,1
1,822,1
1,897,1
1,906,1
1,936,1
1,950,1
1,1073,1
1,1126,1
1,1294,1
1,4000,20
1,4003,7
1,4005,4
2,1,1
2,2,34
2,3,2
2,5,1
2,8,3
2,13,9
2,17,8
2,18,2
2,19,1
2,21,2
2,24,1
2,25,2
2,26,2
2,27,7
2,30,4
2,32,1
2,33,1
2,34,3
2,35,1
2,36,1
2,37,4
2,38,11
2,39,6
2,40,4
2,42,2
2,44,1
2,45,1
2,48,1
2,49,5
2,50,3
2,53,1
2,54,1
2,61,1
2,63,2
2,64,4
2,65,2
2,67,4
2,68,2
2,70,1
2,71,2
2,73,2
2,74,1
2,75,1
2,90,1
2,93,1
2,94,1
2,96,1
2,99,1
2,102,1
2,106,1
2,109,1
2,111,1
2,116,1
2,122,1
2,124,2
2,126,1
2,127,1
2,133,2
2,137,1
2,141,1
2,144,1
2,148,2
2,149,1
2,159,1
2,165,1
2,167,1
2,180,2
2,199,1
2,203,1
2,209,1
2,225,1
2,226,3
2,229,4
2,301,1
2,318,1
2,344,1
2,353,1
2,364,1
2,371,1
2,429,1
2,439,1
2,450,1
2,479,1
2,485,1
2,489,1
2,494,1
2,500,1
2,535,1
2,598,1
2,615,1
2,671,1
2,676,1
2,688,1
2,709,2
2,721,1
2,722,1
2,731,1
2,760,1
2,788,1
2,792,1
2,817,1
2,834,2
2,861,1
2,897,2
2,902,1
2,906,1
2,931,1
2,932,3
2,949,1
2,957,1
2,977,1
2,978,1
2,992,1
2,1064,1
2,1072,1
2,1103,1
2,1106,1
2,1149,1
2,4000,32
2,4001,2
2,4003,14
2,4004,1
2,4005,2
3,1,2
3,2,2
3,3,26
3,5,2
3,7,1
3,8,5
3,9,1
3,13,6
3,17,1
3,19,5
3,20,2
3,21,3
3,22,2
3,23,2
3,24,1
3,25,1
3,26,1
3,27,4
3,30,2
3,31,3
3,32,2
3,33,4
3,34,1
3,35,2
3,36,3
3,37,5
3,38,5
3,39,3
3,40,4
3,41,2
3,42,3
3,44,2
3,45,3
3,46,1
3,48,1
3,49,1
3,50,2
3,51,1
3,53,1
3,55,4
3,60,1
3,63,2
3,64,3
3,65,3
3,67,1
3,68,5
3,70,1
3,71,1
3,72,2
3,73,1
3,74,1
3,75,3
3,82,1
3,88,1
3,92,2
3,94,1
3,95,1
3,99,1
3,100,1
3,101,1
3,102,1
3,105,1
3,109,2
3,110,1
3,111,1
3,112,1
