origin_zone,destination_zone,count2
1,1,22
1,3,5
1,8,2
1,9,1
1,13,6
1,17,7
1,27,5
1,30,2
1,33,3
1,35,1
1,36,1
1,38,3
1,39,1
1,40,1
1,41,1
1,42,1
1,43,1
1,45,1
1,47,1
1,49,2
1,63,1
1,64,2
1,65,1
1,70,1
1,73,2
1,75,2
1,77,1
1,80,1
1,82,1
1,88,1
1,102,1
1,105,1
1,117,1
1,126,1
1,133,1
1,140,1
1,150,2
1,154,1
1,178,1
1,187,1
1,188,1
1,209,1
1,215,1
1,225,1
1,226,2
1,228,2
1,229,1
1,434,1
1,457,1
1,458,3
1,496,1
1,574,1
1,594,2
1,628,1
1,799,1
1,801,1
1,862,1
1,901,1
1,903,1
1,932,2
1,964,1
1,977,1
1,1040,1
1,1175,1
1,1180,1
1,1275,1
1,4000,21
1,4001,1
1,4003,8
1,4004,1
1,4005,1
2,1,2
2,2,37
2,3,8
2,4,2
2,5,1
2,8,2
2,13,6
2,17,5
2,18,3
2,19,1
2,22,4
2,23,1
2,24,1
2,25,2
2,27,7
2,30,3
2,31,1
2,32,1
2,33,1
2,34,1
2,37,6
2,38,9
2,39,5
2,40,4
2,43,1
2,44,2
2,47,1
2,48,2
2,49,4
2,50,1
2,51,1
2,53,1
2,54,1
2,55,1
2,56,1
2,60,4
2,61,1
2,62,2
2,63,2
2,64,6
2,65,3
2,68,2
2,71,2
2,72,1
2,73,2
2,75,1
2,82,1
2,88,2
2,89,1
2,90,1
2,95,1
2,103,1
2,106,1
2,108,1
2,110,1
2,111,1
2,120,1
2,127,2
2,128,2
2,147,1
2,148,2
2,150,1
2,153,1
2,158,1
2,167,1
2,171,2
2,173,1
2,177,1
2,187,1
2,189,1
2,192,1
2,193,1
2,197,1
2,221,1
2,225,1
2,226,1
2,228,1
2,229,4
2,306,1
2,309,1
2,324,1
2,332,1
2,342,1
2,344,2
2,347,1
2,364,1
2,374,1
2,430,1
2,432,1
2,443,1
2,457,1
2,482,1
2,485,1
2,491,1
2,513,1
2,534,1
2,586,1
2,594,1
2,612,1
2,629,1
2,632,1
2,655,1
2,712,1
2,736,1
2,800,1
2,801,1
2,805,1
2,813,1
2,822,1
2,834,1
2,849,1
2,883,1
2,898,2
2,902,1
2,903,1
2,904,1
2,915,1
2,932,2
2,952,1
2,958,1
2,977,1
2,1064,1
2,1066,1
2,1075,1
2,1110,1
2,1129,1
2,1141,1
2,1142,1
2,1232,1
2,1270,1
2,1302,1
2,4000,38
2,4001,4
2,4003,20
2,4004,1
2,4005,2
3,1,1
3,2,3
3,3,28
3,4,1
3,8,6
3,9,1
3,12,1
3,13,8
3,14,1
3,18,2
3,19,4
3,20,1
3,22,2
3,23,1
3,24,2
3,25,3
3,26,1
3,27,3
3,30,3
3,31,1
3,32,4
3,33,1
3,35,2
3,37,6
3,38,1
3,39,4
3,40,5
3,41,1
3,43,2
3,44,1
3,45,2
3,46,1
3,48,1
3,49,5
3,50,4
3,53,5
3,54,2
3,57,1
3,59,1
3,60,1
3,61,1
3,62,3
3,63,4
3,64,7
3,67,1
3,68,2
3,69,1
3,71,3
3,73,4
3,74,1
3,75,2
3,76,1
3,82,2
3,84,1
3,86,2
3,89,3
3,98,1
3,103,2
3,105,2
3,106,1
3,108,1
3,114,1
3,124,2
3,126,1
3,127,1
3,129,1
3,130,1
3,133,1
3,135,1
3,141,1
3,144,1
3,147,1
3,148,1
3,151,1
3,169,2
3,171,1
3,187,1
3,188,3
3,189,1
3,190,1
3,202,1
3,207,1
3,208,4
3,209,1
3,210,1
3,211,1
3,213,2
3,214,1
3,221,2
3,222,1
3,225,1
3,226,9
3,229,2
3,311,1
3,316,1
3,323,1
3,339,1
3,342,1
3,354,1
3,366,1
3,370,1
3,432,1
3,439,1
3,443,1
3,447,1
3,457,1
3,460,1
3,469,2
3,473,1
3,486,1
3,489,1
3,499,2
3,500,1
3,507,1
3,575,1
3,611,1
3,628,1
3,729,1
3,730,1
3,735,1
3,737,1
3,738,1
3,765,1
3,775,1
3,780,1
3,799,3
3,801,1
3,807,2
3,808,1
3,820,1
3,834,1
3,872,1
3,895,1
3,902,1
3,903,1
3,904,1
3,906,2
3,913,1
3,924,1
3,930,1
3,931,2
3,932,1
3,933,1
3,934,2
3,936,1
3,958,1
3,977,3
3,990,1
3,1070,1
3,1106,1
3,1142,1
3,1225,1
3,1272,1
3,1294,1
3,4000,73
3,4003,16
3,4005,5
4,2,1
4,4,1
4,21,1
4,30,1
4,33,1
4,38,1
4,44,1
4,49,1
4,53,1
4,108,1
4,226,2
4,347,1
4,598,1
4,615,1
4,895,1
4,4000,5
4,4001,1
5,2,2
5,3,1
5,5,11
5,17,2
5,18,1
5,19,1
5,20,1
5,25,1
5,30,1
5,33,1
5,37,1
5,40,1
5,41,1
5,42,1
5,48,1
5,50,1
5,53,2
5,71,1
5,75,1
5,89,1
5,93,1
5,100,1
5,171,1
5,188,1
5,225,2
5,320,1
5,325,1
5,633,1
5,719,1
5,821,1
5,903,1
5,952,1
5,1106,1
5,1145,1
5,4000,4
6,3,1
6,6,4
6,17,1
6,25,1
6,30,1
6,32,1
6,41,2
6,48,1
6,63,1
6,64,2
6,66,1
6,177,1
6,199,1
6,227,1
6,694,1
6,709,1
6,897,1
6,4000,7
7,7,3
7,17,1
7,27,1
7,35,1
7,39,1
7,42,1
7,48,2
7,49,1
7,54,1
7,63,1
7,71,1
7,87,1
7,89,1
7,100,1
7,115,1
7,126,1
7,212,1
7,310,1
7,379,1
7,448,1
7,486,1
7,800,1
7,4000,5
7,4003,2
7,4005,1
8,2,3
8,3,6
8,8,12
8,9,1
8,12,4
8,17,4
8,18,2
8,26,1
8,29,1
8,30,2
8,32,1
8,34,1
8,37,1
8,38,1
8,40,3
8,41,1
8,44,1
8,45,2
8,47,1
8,48,1
8,51,1
8,53,2
8,55,1
8,61,1
8,64,2
8,67,1
8,70,2
8,77,1
8,82,3
8,88,1
8,89,1
8,102,1
8,108,1
8,109,1
8,110,1
8,117,1
8,124,1
8,141,1
8,146,1
8,151,1
8,158,1
8,193,1
8,203,1
8,208,1
8,216,1
8,225,1
8,330,1
8,499,1
8,501,1
8,748,1
8,944,1
8,954,1
8,1070,1
8,1073,1
8,1214,1
8,4000,15
8,4003,3
9,3,2
9,8,1
9,9,9
9,14,1
9,17,3
9,25,1
9,37,1
9,47,1
9,205,1
9,219,1
9,832,1
9,1103,1
9,4000,2
9,4003,1
10,8,1
10,4000,1
11,11,6
11,12,3
11,26,1
11,29,1
11,34,3
11,43,1
11,48,2
11,49,2
11,53,1
11,71,1
11,76,1
11,93,1
11,112,1
11,219,1
11,225,1
11,325,1
11,499,1
11,957,1
11,4000,14
12,3,3
12,8,1
12,11,1
12,12,53
12,17,2
12,25,3
12,26,1
12,38,1
12,40,1
12,43,1
12,46,1
12,48,10
12,49,1
12,53,1
12,58,2
12,64,1
12,67,4
12,68,2
12,69,1
12,93,1
12,98,1
12,104,1
12,105,3
12,107,1
12,109,1
12,117,1
12,121,1
12,137,1
12,141,1
12,143,4
12,172,1
12,177,1
12,188,5
12,189,1
12,192,1
12,197,1
12,208,1
12,209,3
12,212,2
12,213,1
12,214,2
12,215,1
12,217,5
12,218,2
12,219,3
12,225,1
12,229,1
12,352,1
12,440,1
12,448,1
12,455,1
12,495,1
12,499,1
12,622,1
12,626,1
12,628,1
12,637,1
12,679,1
12,846,1
12,897,2
12,903,2
12,917,1
12,935,1
12,947,1
12,949,1
12,973,1
12,991,1
12,1006,2
12,1007,1
12,1068,1
12,1109,1
12,4000,15
12,4001,1
12,4003,1
12,4004,1
13,1,8
13,2,5
13,3,9
13,5,1
13,8,1
13,13,50
13,17,16
13,20,2
13,21,2
13,23,1
13,27,6
13,30,2
13,32,1
13,33,1
13,34,1
13,36,3
13,37,1
13,38,2
13,39,1
13,40,2
13,41,1
13,43,1
13,44,2
13,45,3
13,47,1
13,48,2
13,49,3
13,50,2
13,53,1
13,59,1
13,61,1
13,62,1
13,64,7
13,70,1
13,71,1
13,72,3
13,73,1
13,74,1
13,77,1
13,80,1
13,86,1
13,88,1
13,89,1
13,90,1
13,100,1
13,105,2
13,108,2
13,118,1
13,119,1
13,120,2
13,124,3
13,126,1
13,145,1
13,147,1
13,163,1
13,166,1
13,169,2
13,178,1
13,187,1
13,192,1
13,195,1
13,202,2
13,206,1
13,215,1
13,225,2
13,226,1
13,228,2
13,229,1
13,310,1
13,324,1
13,341,1
13,354,2
13,362,2
13,372,1
13,378,1
13,422,1
